Rank,Performance,Name,Year,Coach,Club,Venue,Date
Rank,Perf,Name,Year,Coach,Club,Venue,Date
1,70.54,Jabez Berry,2,Steve Pearson,Halesowen,Telford,21 Sep 24
2,68.88,Kai Barham,2,Paul Head,Dartford H,Loughborough,19 May 24
3,64.84,Finley Hanham,2,Bob Broadbridge,Reading AC,Gloucester,6 May 24
4,64.22,Charlie Elford Pond,2,Eric Davison,Winchester,Hendon,30 Jun 24
5,63.92,Wyatt Larkins,2,Jamie Bath,Harrow,Hull,12 Oct 24
6,60.97,Louis Tutcher,1,Matt Spicer,Yate,Exeter,15 Jun 24
7,57.67,Logan Mitchell,2,Jim Green,Kilmarnock,Grangemouth,11 Aug 24
8,56.12,Sebastian Simpson,1,Paul Dickenson,Windsor Slough Eton & Hounslow,Horspath,25 May 24
9,54.91,Adam Merrett,1,Matt Spicer,Yate,Newport,30 Jun 24
10,54.20,Joshua Reibbitt,1,John Little,Carlisle Aspatria,Carlisle,14 Dec 24
11,52.48,Alastair Brown,2,Geoff Tyler,Chelmsford,Eton,28 Apr 24
12,50.89,Billy Dickinson,1,Bob Broadbridge,Swindon,Exeter,15 Jun 24
13,50.25,James Hayward,3,Glyndwr Pugh,Glasgow Jaguars,Telford,21 Sep 24
14,50.14,Lewis Shaw,3,Thomas Graham,Kilbarchan,Grangemouth,11 Aug 24
15,49.62,Caleb Richardson,3,Matthew Richards,Newport H,Yate,12 May 24
16,49.13,Corey Scanlan,1,,Biggleswade,Sandy,6 Apr 24
17,47.33,George Williams,2,,Blackburn,Middlesbrough,9 Jun 24
18,47.00,Oscar Staples,2,Karl Lasis,Crawley,Crawley,30 Jun 24
19,46.54,Sean Radabaugh,2,,Inverness,Grangemouth,11 Aug 24
20,46.15,Sammy Thomas,2,,Neath,Swansea,10 Aug 24
21,45.78,Archie Kinneir,1,Bob Broadbridge,Swindon,Swindon,9 Nov 24
22,44.87,Ryan Wells,4,Alex Wells,Wycombe,Basingstoke,26 Oct 24
23,44.59,Louis Gallagher,2,,Luton,Horspath,7 Sep 24
24,44.07,Declan McClelland,1,,Law,Glasgow,3 Aug 24
25,43.70,Aaron Holliday,3,John Little,Carlisle Aspatria,Carlisle,11 May 24
26,43.49,Bryce Farmer-Beasley,1,,City of York,Hull,30 Jun 24
27,41.27,Max Thorne,1,,Medway & Maidstone,Ashford,11 May 24
28,41.22,Josh Robins,2,,Crawley,Crawley,8 Jun 24
29,40.75,Ben Fenwick,1,Matthew Richards,Swansea,Telford,22 Jun 24
30,38.86,Maximilian Brookes,1,Mel Brookes,West Suffolk,Cambridge,11 May 24
31,37.74,Ted Hiscock,1,,Swindon,Swindon,9 Nov 24
32,36.62,Toby Carroll,1,,Huntingdonshire,Norwich,15 Jun 24
33,35.61,Archie Vinnicombe,1,,Walton,Horspath,7 Sep 24
34,34.76,William Lacey,1,Jessica Arnison,Leigh,Wigan,30 Jun 24
35,34.52,Gabriel Li La-Vigars,3,,Kingston upon Hull,Doncaster,26 May 24
36,33.90,Kieran Howard,2,David Needham,"Blackpool, Wyre & Fylde",Blackpool,12 May 24
37,33.78,Cieran Lomax,2,,Tipton,Tipton,4 Aug 24
38,33.25,Lewis Forster,3,Simon Forster,Leigh,Wigan,30 Jun 24
39,33.01,William Speed-Andrews,1,,Rugby & Northampton,Moulton,9 Jul 24
40,32.72,Jacob Foord,2,,Taunton,Yeovil,8 Jun 24
41,32.67,Joseph Kelly,1,Sebastian Wadlow,Dacorum,Sportcity,1 Sep 24
42,32.17,Daniel Ross,2,Catarina Hallden,Jersey,Portsmouth,12 May 24
43,29.94,Sochima Chienye,1,,Somerset Schs,Exeter,15 Jun 24
44,29.92,Kacper Dumara,1,,Hereford,Yate,26 May 24
45,29.55,Tyrese Abolarin,2,,Methodist College Belfast,Belfast,19 May 24
46,28.46,Alixander Hiscock,3,,Swindon,Swindon,13 Jan 24
47,27.94,Joel Limmer,2,,Retford,Mansfield,26 May 24
48,27.79,Oliver Job,3,,Sussex Schs,Crawley,8 Jun 24
49,26.18,Daniel Culver,1,,Medway & Maidstone,Crawley,30 Jun 24
50,25.83,Thomas Wassermann,1,,London Heathside,Woodford,28 Apr 24
51,25.76,Marcis Lazdins,1,,Windsor Slough Eton & Hounslow,Hendon,30 Jun 24
52,25.43,Patrick Lorimer,1,,Northern Ireland Schs,Belfast,19 May 24
53,25.36,Toby Nicholson,3,,Lancaster & Morecambe,Stretford,28 Apr 24
54,25.26,Oliver Edge,1,,South Glos,Yeovil,8 Jun 24
55,25.11,Leo Cao,2,,Somerset Schs,Yeovil,8 Jun 24
,58.94,Khalid Buhaimed,3,,Loughborough Students,Loughborough,27 May 24
