Rank,Performance,Name,Year,Coach,Club,Venue,Date
Rank,Perf,Name,Year,Coach,Club,Venue,Date
1,69.59,Sophie Hitchon,-3,Derek Evely,Blackburn,Ostrava CZE,16 Jul 11
2,66.46,Sarah Holt,2,Robert Weir,Sale Harriers Manchester,Hendon,10 Jul 11
3,65.37,Zoe Derham,9,,Birchfield H,Hendon,10 Jul 11
4,65.03,Susan McKelvie,4,Alan Bertram,Edinburgh AC,Birmingham,20 Aug 11
5,64.05,Laura Douglas,6,Kevin Madden,Sale Harriers Manchester,Loughborough,22 May 11
6,63.86,Carys Parry,8,Lorraine Shaw,Rhondda,Birmingham,30 Jul 11
7,62.66,Rachel Wilcockson,3,Paul Gair,Trafford,Birmingham,20 Aug 11
8,61.94,Myra Perkins,-4,Alan Bertram,Falkirk,Bedford,1 May 11
9,60.10,Sam Hynes,3,Paul Dickenson,Shaftesbury Barnet,Mile End,14 May 11
10,59.55,Abbi Carter,-5,Dave Smith,Kingston upon Hull,Loughborough,22 May 11
11,58.10,Louisa James,-6,John Hillier,Hastings AC,Douglas,11 Sep 11
12,56.24,Hayley Murray,-1,Christopher Murray,Birchfield H,Hendon,10 Jul 11
13,56.10,Shaunagh Brown,-2,John Hillier,Blackheath & Bromley,Hendon,10 Jul 11
14,55.98,Kimberley Reed,-7,Alan Bertram,Edinburgh AC,Grangemouth,10 Jun 11
15,55.43,Hannah Evenden,-3,Paul Evenden,Edinburgh AC,Cudworth,14 May 11
16,54.73,Lucy Marshall,8,Gary Herrington,Woodford Green Essex Ladies,Rugby,30 Apr 11
17,53.49,Toni Wells,-5,Lorraine Shaw,Swansea,Swansea,5 Jun 11
18,53.39,Jenna Wheatman,5,,Scarborough,York,3 Jul 11
19,53.37,Christina Jones,-2,Lorraine Shaw,Bristol & West,Bedford,26 Jun 11
20,53.33,Mhairi Porterfield,8,Colin McCulloch,Pitreavie,Wishaw,28 Aug 11
21,52.93,Rachel Hunter,-5,,Ayr Seaforth,Wigan,3 Jul 11
22,52.55,Alice Simpson,-1,,Leeds City,Bedford,26 Jun 11
23,51.94,Gaby Silcock,-5,,Ballymena & Antrim,Tullamore IRL,4 Jun 11
24,51.72,Andrea Jenkins,14,,Nene Valley,Sacramento CA USA,12 Jul 11
