Rank,Performance,Name,Year,Coach,Club,Venue,Date
Rank,Perf,Name,Year,Coach,Club,Venue,Date
1,74.17,Jake Norris,2,Paul Dickenson,Windsor Slough Eton & Hounslow,Loughborough,25 Apr 15
2,68.42,George Marvell,2,Paul Dickenson,Stevenage & North Herts,Gateshead,10 Jul 15
3,66.45,Edward Jeans,2,Bob Welfare,Preston,Middlesbrough,16 Aug 15
4,65.01,Levi Causton,2,Shirley Quinn,Chelmsford,Little Marlow,19 Jul 15
5,63.17,Billy Praim-Singh,2,Robert Earle,Southend,Chelmsford,24 May 15
6,63.14,Bayley Campbell,1,Paul Dickenson,Windsor Slough Eton & Hounslow,Ashford,16 Aug 15
7,61.27,Jacob Roberts,1,Michael Hitchon,Blackburn,Wrexham,26 Sep 15
8,61.11,Alexander Reynolds,2,Shirley Quinn,Chelmsford,Grays,6 Sep 15
9,60.26,Aaron Jeal,2,Brian Walsh,Middlesbrough (Mandale),Bedford,30 Aug 15
10,59.42,Stephen McCorry,2,,Ballymena & Antrim,Tullamore IRL,30 May 15
11,57.18,Joe Rogers,2,,Bedford & County,Bedford,10 Jun 15
12,57.17,Daniel Nixon,2,Trevor Hopkins,Middlesbrough (Mandale),Wakefield,13 Sep 15
13,56.87,Matthew James,2,John Little,Border,Carlisle,9 Aug 15
14,55.79,Patrick Price,2,Gary Herrington,Rugby & Northampton,Milton Keynes,18 Apr 15
15,55.64,Kieran Grimwade,1,Adrian Palmer,Cardiff,Wrexham,26 Sep 15
16,54.67,Kai Mumford,1,,Andover,Bournemouth,13 Sep 15
17,54.46,Michael Dawes,2,,Banbury,Banbury,16 May 15
18,54.44,Andrew Costello,1,Jim Green,Kilbarchan,Grangemouth,22 Aug 15
19,52.98,Adam Jacques,2,Kim Weaving,Thanet AC,Ashford,24 May 15
20,52.02,Oliver Hewitt,1,Bob Broadbridge,Team Kennet,Harrow,18 Apr 15
21,51.98,Levi-Jack Roper,1,Gary Howe,West Suffolk,Ashford,16 Aug 15
22,51.42,William Kerr,2,,Bedford & County,Cambridge,14 Jun 15
23,50.33,Andrew Peck,1,Alison Grey,Ayr Seaforth,Ayr,19 Aug 15
24,50.19,Reiss Senior,2,Charlotte Nicholls,Herne Hill,Chelmsford,16 May 15
25,49.60,Alex Griffiths,1,Carolyn Franks,Cheltenham,Birmingham,15 Aug 15
