Rank,Performance,Name,Year,Coach,Club,Venue,Date
Rank,Perf,Name,Year,Coach,Club,Venue,Date
1,70.11,Shaun Kerry,2,Dave Smith,Kingston upon Hull,Hull,6 Sep 20
2,66.47,Oliver Graham,3,Robert Earle,Shaftesbury Barnet,Colchester,27 Sep 20
3,64.24,Alex Bernstein,1,Bob Welfare,Preston,Hull,11 Jul 20
4,61.86,Kenneth Ikeji,2,Paul Head,Basildon,Woodford,10 Oct 20
5,59.79,James Ericsson-Nicholls,3,Jack Kee,Marshall Milton Keynes,Portsmouth,11 Oct 20
6,58.46,James Lancaster,3,Michael Davies,Shaftesbury Barnet,Hendon,11 Jul 20
7,56.80,Edward Fileman,1,Elaine Fileman,Tavistock,Par,5 Sep 20
8,55.80,Toby Conibear,1,Matt Spicer,Yate,Swansea,6 Sep 20
9,54.82,Jack Turner,2,Steve Pearson,Cannock & Stafford,Nuneaton,20 Sep 20
10,53.02,Danny Gracie,1,John Little,Annan,Grangemouth,11 Jan 20
11,50.50,Harry Ricketts,1,Bob Broadbridge,Swindon,Swindon,5 Dec 20
12,50.43,Alex Ringshall,1,Paul Head,Dartford H,Dartford,13 Sep 20
13,49.07,Samuel Clifton,1,Jeremy Clifton,Winchester,Winchester,22 Aug 20
14,48.70,Antony Mould,2,Dave Smith,Kingston upon Hull,Hull,10 Oct 20
15,45.15,Joshua Cowie,1,Sabrina Mace,Walton,Walton,6 Sep 20
16,44.36,Reece Perkins,2,Clive Thomson,Medway & Maidstone,Lee Valley,16 Aug 20
17,38.53,Kyle Davies,2,,Brecon,Aberdare,15 Aug 20
18,36.63,Thomas Smith,1,Lewis Capes,Huntingdonshire,Norwich,12 Sep 20
19,35.69,Jacob Pope,3,,Yeovil,Yeovil,29 Aug 20
20,31.13,Benjamin Rogers,3,,Tavistock,Tavistock,16 Aug 20
