Rank,Performance,Name,Year,Coach,Club,Venue,Date
Rank,Perf,Name,Year,Coach,Club,Venue,Date
1,76.12,Jake Norris,4,Paul Dickenson,Windsor Slough Eton & Hounslow,Eton,19 Apr 25
2,75.20,Kenneth Ikeji,1,Paul Head,Basildon,Walnut CA USA,19 Apr 25
3,72.56,Taylor Campbell,7,John Pearson,Windsor Slough Eton & Hounslow,Woodford,31 Aug 25
4,71.86,Craig Murch,10,Matt Spicer,Birchfield H,Yate,14 Sep 25
5,71.79,Jack Paget,6,John Pearson,Thames Valley,Corby,2 Jul 25
6,68.40,Bayley Campbell,3,Paul Dickenson,Windsor Slough Eton & Hounslow,Eton,19 Apr 25
7,67.57,Ruben Banks,2,Dennis Daly,Windsor Slough Eton & Hounslow,Baton Rouge LA USA,3 May 25
8,66.96,Tom Parker,9,Amir Williamson,Blackheath & Bromley,Tucson AZ USA,3 May 25
9,66.51,Alex Bernstein,1,Bob Welfare,Preston,Champaign IL USA,2 May 25
10,66.08,Jabez Berry,-4,Steve Pearson,Halesowen,Sportcity,5 May 25
11,65.90,Owen Merrett,-2,Matt Spicer,Harrow,Woodford,31 Aug 25
12,64.75,Chris Shorthouse,15,John Pearson,Birchfield H,Hull,13 Aug 25
13,64.20,Thomas Head,7,Paul Head,Woodford Green Essex Ladies,Woodford,31 Aug 25
14,64.13,Adam Phillips,2,,Cardiff,Carbondale IL USA,18 May 25
15,63.46,Edward Jeans,5,Bob Welfare,Preston,Blackburn,7 Sep 25
16,63.42,Shaun Kerry,2,Dave Smith,Kingston upon Hull,Bury,26 Mar 25
17,62.71,James Bedford,15,Dave Smith,Birchfield H,Hull,13 Aug 25
18,61.84,Kai Barham,-3,Paul Head,Dartford H,Walnut CA USA,19 Apr 25
19,61.74,Harry Ricketts,-2,Jake Norris,Swindon,Halle GER,25 May 25
20,60.48,Oliver Graham,2,Robert Earle,Chelmsford,Chelmsford,31 May 25
21,60.40,Archie Small,-1,,Leamington,Loughborough,19 Apr 25
22,59.57,Wyatt Larkins,-5,Jamie Bath,Harrow,Harrow,13 Jul 25
23,56.95,Finley Hanham,-3,Bob Broadbridge,Newbury,Winchester,20 Apr 25
24,56.58,Ross Douglas,7,Jim Edwards,Charnwood,Mansfield,31 Aug 25
25,56.52,Louis Tutcher,-5,Matt Spicer,Yate,Worcester,2 Aug 25
26,56.39,Andrew Bowsher,2,Duncan Flockhart,Inverness,San Marcos TX USA,21 Mar 25
27,56.05,Charlie Elford Pond,-4,Jake Norris,Winchester,Yeovil,31 May 25
28,55.72,Daniel Nixon,5,Nick Ridgeon,Gateshead,Derby,28 Jun 25
29,54.67,Leslie Parkes,7,Eric Davison,Winchester,Winchester,28 Sep 25
30,54.42,Matthew Heywood,-1,Michael Hitchon,Blackburn,Mount Olive NC USA,11 Apr 25
31,54.38,Billy Praim-Singh,4,Robert Earle,Southend,Colchester,28 Sep 25
32,54.25,Richard Martin,19,,Bedford & County,Cudworth,11 May 25
32,54.25,Samuel Clifton,-1,Jeremy Clifton,Winchester,Portsmouth,11 May 25
34,53.40,Sam Mace,3,Paul Dickenson,Walton,Eton,19 Apr 25
35,53.25,Matthew Sutton,22,Steve Pearson,Wolverhampton & Bilston,Mansfield,31 Aug 25
36,52.76,Anthony Kent,3,Jim Kerrigan,Blackburn,Blackburn,17 May 25
37,52.59,Jack Turner,1,John Pearson,Cannock & Stafford,Burton,17 May 25
38,51.24,Christopher Bainbridge,8,Philip Garner,Grantham AC,Grantham,22 Jun 25
39,50.94,John Pearson,37,,Charnwood,Stoke,17 May 25
40,50.83,Adam Merrett,-5,Matt Spicer,Yate,Worcester,2 Aug 25
40,50.83,Ethan Kendrick,-6,Matthew Sutton,Wolverhampton & Bilston,Mansfield,31 Aug 25
42,50.50,Antony Mould,-1,Dave Smith,Kingston upon Hull,Rotherham,17 May 25
43,50.23,Glen Kerr,29,,Bedford & County,Hull,27 Sep 25
44,49.43,George Salter,9,Lorraine Shaw,Gloucester,Rugby,17 May 25
45,49.18,Joe Flitcroft,12,Lee Doyle,Trafford,Stretford,31 Aug 25
