Rank,Performance,Name,Year,Coach,Club,Venue,Date
Rank,Perf,Name,Year,Coach,Club,Venue,Date
1,70.85,Michael Painter,2,John Painter,City of Norwich,Trabzon TUR,28 Jul 11
2,66.94,Nick Percy,2,William Bushnell,Shaftesbury Barnet,Bedford,21 Aug 11
3,65.34,Tom Parker,2,Michael Davies,Tonbridge,Ashford,7 Aug 11
4,64.38,Ashley Gilder,2,John Pearson,Notts,Loughborough,17 Apr 11
5,64.13,Taylor Campbell,1,Paul Dickenson,Windsor Slough Eton & Hounslow,Bedford,21 Aug 11
6,62.99,Rafal Morawski,1,Lukasz Barzyk,Ealing Southall & Middx,Bournemouth,11 Sep 11
7,60.52,George Salter,2,Lorraine Shaw,Stroud,Bedford,21 Aug 11
8,59.83,Robert Moffett,2,Gareth Moffett,Ballymena & Antrim,Don Valley,3 Sep 11
9,59.60,Thomas Head,1,Paul Head,Newham & Essex Beagles,Kingston,14 Aug 11
10,58.44,Dominic Sykes,2,John Pearson,Lincoln Wellington,Hendon,10 Jul 11
11,57.65,Daniel Avery,2,William Bushnell,Southampton,Kingston,14 Aug 11
12,56.81,Alan Sydee,2,,Luton,Colchester,21 Aug 11
13,55.61,James Lasis,1,Karl Lasis,Crawley,Bedford,21 Aug 11
14,55.58,Jack Barton,1,Brian Lockley,East Cheshire,Stretford,31 May 11
15,53.82,Ricky Doran,2,,Newbury,Watford,1 Jun 11
16,53.64,Matthew Reece,2,,Colwyn Bay,Cardiff,16 Jul 11
17,52.62,Thomas Fellowes,1,Lorraine Shaw,Hereford,Nuneaton,19 Jun 11
17,52.62,James Hamblin,1,Robert Earle,Colchester H,Colchester,29 Aug 11
19,52.14,Ross Douglas,1,Jim Edwards,Charnwood,Corby,19 Jun 11
20,51.17,Jac Palmer,1,Adrian Palmer,Cardiff,Cardiff,16 Jul 11
21,50.43,Jacob Lange,1,Lorraine Shaw,Gloucester,Yate,11 Sep 11
22,50.13,Jamie Potton-Burrell,1,,Luton,Stevenage,12 Jun 11
23,50.09,Oliver Holway,2,Noel Moss,Cambridge & Coleridge,Braintree,12 Jun 11
24,49.93,Reece Straker,2,Neil Ellerby,North Shields Poly,Gateshead,1 Jul 11
25,49.64,David Scupham,2,,Basildon,Chelmsford,14 May 11
26,49.02,Robbie James,1,,Hastings AC,Tonbridge,5 Jul 11
27,48.61,Robert Rogers,2,,Neath,Bridgend,2 Apr 11
28,48.09,Chris Stephenson,1,,City of York,York,26 Jun 11
29,47.55,Sam Grant,1,,Southend,Southend,29 Aug 11
30,47.52,Sam Matthews,1,,Lagan Valley,Dublin (S) IRL,25 Jun 11
31,47.24,Connor Stoney,2,,Law,Wishaw,27 Aug 11
32,47.23,Liam Hanna,2,,Essex Schs,Chelmsford,11 Jun 11
33,46.72,Oliver Thompson,2,Gary Howe,Thetford,Ipswich,31 Dec 11
34,46.58,Lewis Barnes,2,Jack Kee,Marshall Milton Keynes,Bedford,9 Oct 11
35,46.47,Dominic Palmer-Leandre,1,Richard Turner,Enfield & Haringey,Hendon,11 Jun 11
36,46.46,Kieran Thackray,2,Michael Swain,Wakefield,Liverpool,17 Sep 11
37,46.43,Conor Guest,2,Gary Herrington,Stratford-upon-Avon,Leamington Spa,11 Jun 11
38,46.42,Matthew Field,2,Nigel Bevan,Cardiff,Connah's Quay,28 Aug 11
