Rank,Performance,Name,Year,Coach,Club,Venue,Date
Rank,Perf,Name,Year,Coach,Club,Venue,Date
1,73.76,Nick Miller,3,John Baumann,Border,Livingston,30 Jun 12
2,73.34,Michael Painter,1,John Painter,City of Norwich,Bedford,10 Jun 12
3,73.09,Callum Brown,2,,City of Norwich,Mannheim GER,23 Jun 12
4,69.10,Andrew Elkins,3,Dennis Elkins,Shaftesbury Barnet,Eton,29 Apr 12
5,68.11,Craig Murch,3,John Pearson,Rugby & Northampton,Leicester,14 Jul 12
6,66.97,Osian Jones,3,Dennis Roscoe,Liverpool H,Cardiff,2 Jun 12
7,64.37,Matt Lasis,3,Karl Lasis,Crawley,Crystal Palace,7 Jul 12
8,62.47,Nick Percy,2,John Hillier,Shaftesbury Barnet,Bedford,20 Oct 12
9,59.80,Harry Clarke,3,Mike Winch,Woodford Green Essex Ladies,Bedford,20 Oct 12
10,58.75,George Salter,1,Lorraine Shaw,Stroud,Gateshead,7 Jul 12
11,57.74,Tom Parker,1,Michael Davies,Blackheath & Bromley,Bromley,11 Jun 12
12,57.68,Daniel Avery,1,William Bushnell,Southampton,Bromley,22 Aug 12
13,56.04,Sam Blain,2,,City of York,Gateshead,7 Jul 12
14,55.85,Jack Chapman,2,,Middlesbrough (Mandale),Carlisle,23 Jun 12
15,55.79,Rob Wallace,2,Lorraine Shaw,Cheltenham,Cheltenham,16 Jun 12
16,54.37,Robert Duke,2,Eric Davison,Worthing,Crawley,8 Apr 12
17,54.14,Robert Moffett,1,Gareth Moffett,Ballymena & Antrim,Bedford,16 Jun 12
18,54.05,Gary Jones,2,,Andover,Yeovil,9 Sep 12
19,53.64,Ross McManus,3,,,Grangemouth,26 Aug 12
20,52.90,Alan Sydee,1,,Luton,Norwich,22 Jul 12
21,52.73,James Smith,2,John Painter,Enfield & Haringey,Bromley,22 Jul 12
22,52.49,Bradley Cole,3,Paul Jensen,Cardiff,Yate,24 Jun 12
23,52.37,Lee Doran,3,Bob Broadbridge,Newbury,Lee Valley,24 Jun 12
24,51.41,James Hamblin,1,Robert Earle,Colchester H,Braintree,22 Dec 12
25,51.24,Mark White,3,Thomas Grierson,Reading AC,Horspath,12 Aug 12
26,50.99,Dominic Sykes,1,John Pearson,Lincoln Wellington,Gateshead,7 Jul 12
27,50.87,Edmund Reid,2,William Robertson,Falkirk,Gateshead,24 Jun 12
28,50.19,Nicky Stone,2,Alan Bertram,Shettleston,Edinburgh,12 May 12
29,50.17,Ricky Doran,1,,Newbury,Crookham Common,11 Mar 12
30,50.03,Connor Stoney,1,,Law,Grangemouth,1 Aug 12
31,49.32,Alistair Tuck,2,,Dorchester,Exeter,15 Jul 12
32,49.05,Kieran Thackray,1,Michael Swain,Wakefield,Cleckheaton,16 Jun 12
