Rank,Performance,Name,Year,Coach,Club,Venue,Date
Rank,Perf,Name,Year,Coach,Club,Venue,Date
1,65.47,Jessica Mayho,5,John Pearson,Birchfield H,Sportcity,4 Sep 20
2,63.92,Charlotte Payne D,-5,Paul Dickenson,Reading AC,Sportcity,4 Sep 20
3,62.05,Alice Barnsdale,-2,Dave Smith,Kingston upon Hull,Sportcity,4 Sep 20
4,61.65,Kayleigh Presswell,3,Paul Head,Marshall Milton Keynes,Nuneaton,16 Aug 20
5,61.12,Pippa Wingate,5,Gareth Cook,Thames Valley,Sportcity,4 Sep 20
6,60.23,Lucy Marshall,17,Gary Herrington,Woodford Green Essex Ladies,Nuneaton,23 Aug 20
7,58.12,Philippa Davenall,-1,Robert Earle,Shaftesbury Barnet,Loughborough,7 Mar 20
8,57.08,Phoebe Baggott,-4,Steve Pearson,Birchfield H,Loughborough,9 Sep 20
9,53.78,Anna Merritt,-5,,Southampton,Woodford,10 Oct 20
10,53.77,Danielle Broom,-2,Paul Rees,Bournemouth,Bournemouth,30 Aug 20
11,53.45,Poppy Bean,-3,Jan Aarre,Notts,Nuneaton,23 Aug 20
12,52.99,Molly Walsh,-3,Paul Head,Blackheath & Bromley,Hendon,11 Jul 20
13,51.17,Lara Moffat,-6,Jack Kee,Marshall Milton Keynes,Woodford,10 Oct 20
14,50.67,Lauren Aldridge,-2,Mick Shortland,Stevenage & North Herts,Woodford,14 Mar 20
15,50.34,Gemma Vickery,2,Malcolm Fenton,City of Norwich,Norwich,12 Sep 20
16,50.07,Emma Beardmore,11,Dewald Moolman,Harrow,Nuneaton,30 Aug 20
17,48.89,Josephine Larkins,-6,,Colchester H,Hendon,11 Jul 20
18,48.83,Helen Broadbridge,6,Bob Broadbridge,Newbury,Swindon,24 Oct 20
19,48.67,Lois Fileman,-4,John Pearson,Tavistock,Tavistock,16 Aug 20
20,47.72,Sarah Robinson,-4,Dave Smith,Kingston upon Hull,Hull,25 Jul 20
21,46.49,Hannah Gellatly,-6,John Edwards,City of Plymouth,Tavistock,27 Sep 20
22,46.15,Jasmine Trapnell,-5,Jack Kee,Marshall Milton Keynes,Nuneaton,30 Aug 20
23,45.70,Ellen Thrall,-1,Lorraine Shaw,Gloucester,Nuneaton,16 Aug 20
24,45.41,Libby Taylor,-5,Rob Careless,Stevenage & North Herts,Norwich,12 Sep 20
25,45.33,Andrea Jenkins,23,,Peterborough & Nene Valley,Lee Valley,7 Mar 20
26,45.17,Chrissie Prince,-1,,Royal Sutton Coldfield,Nuneaton,30 Aug 20
27,44.73,Jessica Charlie Bennett,-6,David Callaway,Southampton,Portsmouth,13 Sep 20
28,44.58,Meghan Sharman,-6,Laura Rock,Birchfield H,Nuneaton,2 Aug 20
29,44.42,Ava Leigh,-6,,Blackburn,Stretford,19 Sep 20
30,44.29,Georgina Page,1,Barry Hawksworth,Sheffield & Dearne,Hull,25 Jul 20
31,44.21,Lucy Forrest,-5,Barry Hawksworth,Rotherham,Hull,10 Oct 20
32,43.94,Katie Ord,2,Jim Green,Victoria Park City of Glasgow,Grangemouth,11 Jan 20
33,43.33,Stephanie Howe,-2,,Woodford Green Essex Ladies,Woodford,10 Oct 20
34,41.61,Bethan Lishman D,15,Robert Halliwell,Wigan & District,Lee Valley,7 Mar 20
35,41.32,Lucy Koenigsberger,-4,Gary Howe,West Norfolk,Norwich,12 Sep 20
36,40.99,Amy Bunting,-7,Malcolm Fenton,Lincoln Wellington,Hull,10 Oct 20
37,40.81,Kirsty-Anne Ebbage,-5,John Hillier,Tonbridge,Lee Valley,16 Aug 20
38,40.76,Sia Banbury,-4,Lydia Banbury,Guernsey,St. Peter Port,23 Aug 20
39,40.48,Emma Sharpe,-4,Colin Petty,North Devon,Tavistock,16 Aug 20
40,40.35,Cara James,-1,,Cambridge Uni,Lee Valley,29 Feb 20
41,40.02,Melissa Bird,-1,Paul Rees,Cheltenham,Bournemouth,20 Sep 20
42,39.95,Lynsey Glover,11,,Lagan Valley,Belfast,30 Jul 20
43,39.69,Jessica Gardiner,-7,Neil Ellerby,Morpeth,Morpeth,18 Oct 20
44,39.50,Wallis Canning,1,Raymond Scovell,Havant,Portsmouth,11 Oct 20
45,39.27,Thema Osborne Hendricks,-6,,Bristol & West,Whitehall,22 Sep 20
46,39.25,Lucy Hunter,-7,,Falkirk,Linwood,24 Oct 20
47,38.97,Jenny Richards,5,,Radley,Lee Valley,29 Feb 20
48,38.91,Hannah Garrett,-5,John Little,Annan,Meadowmill,30 Aug 20
49,38.58,Abbie Stewart,-5,John Hillier,Blackheath & Bromley,Norwich,12 Sep 20
50,38.35,Alice Bell,-1,,Manx,Douglas,5 Aug 20
51,37.97,Isabella Shepherd,-4,Paul Rees,Bournemouth,Bournemouth,20 Sep 20
51,37.97,Larissa Carter,-3,Karl Lasis,Lewes,Lewes,4 Oct 20
53,37.86,Hannah Wells,-6,Alex Wells,Wycombe,Yate,20 Sep 20
54,37.46,Tazmin Fayle,-6,John Whitlow,Manx,Douglas,19 Sep 20
55,37.34,Jessica Westley,-2,,Kingston & Poly,Kingston,10 Oct 20
56,37.28,Holly Benson,-5,Joanne Harding,Stockport,Moulton,26 Sep 20
57,36.93,Claire Capon,13,Gerald Patrick,Dartford H,Dartford,13 Sep 20
58,35.33,Sue Lawrence,28,Paul Head,Thurrock,Lee Valley,7 Mar 20
59,34.87,Leah Hale,-4,,Yate,Yate,19 Jul 20
60,34.77,Lily Welton,-5,,Scunthorpe & District AC (Defunct),Hull,6 Sep 20
61,34.66,Stephanie Browne,-5,,Cambridge & Coleridge,Cambridge,10 Sep 20
62,34.47,Sophie Fenner,-2,John Hillier,Cambridge H,Dartford,13 Sep 20
63,33.93,Emma Lowry,7,,Edinburgh AC,Nuneaton,16 Aug 20
64,33.62,Eva West,-6,Martin Norman,Walton,Walton,6 Sep 20
65,33.57,Tayla Mullings,-4,,Birchfield H,Woodford,14 Mar 20
66,33.27,Emma Hames,-6,David Arnold,Neath,Cardiff,1 Mar 20
67,32.86,Iris Williams,-6,Jim Green,Giffnock North,Linwood,24 Oct 20
68,32.56,Jessica Groves,-6,Dave Brown,Liverpool Pembroke Sefton,Stretford,22 Aug 20
69,31.98,Samantha Bowkett,-5,Quentin Elmhirst,Worcester,Nuneaton,30 Aug 20
70,31.94,Natalie Mann,14,,Cambridge H,Lee Valley,16 Aug 20
71,30.94,Zoe Crutchley,-3,John Edwards,City of Plymouth,Tavistock,27 Sep 20
72,30.75,Megan Smith,-5,Cathy James,Thurrock,Grays,19 Sep 20
73,30.72,Eve Robson,-5,Brian Walsh,Middlesbrough (Mandale),Morpeth,18 Oct 20
74,30.59,Bridget Fryer,7,Malcolm Fenton,Harrow,Lee Valley,29 Feb 20
75,30.56,Nicola Long,23,,Burton,Burton-on-Trent,15 Oct 20
76,30.48,Elizabeth Ball,-3,,Andover,Cambridge,25 Oct 20
77,30.15,Christina Becker,-5,Bruce Holden,North Somerset,Yate,26 Sep 20
78,29.90,Kimberley Carter,3,,Telford AC,Telford,26 Sep 20
79,29.30,Caitlin Rimmer,-5,Martin Bishell,Sheffield & Dearne,Doncaster,20 Sep 20
80,29.19,Lily Clarke,-5,,Leamington,Leamington,12 Sep 20
81,29.12,Rebekah Rose,-5,Alan Erickson,Dundee Hawkhill,Grangemouth,11 Jan 20
82,28.95,Tamsin Hoult,-6,Martin McBriar,Winchester,Portsmouth,11 Oct 20
83,28.85,Louise Kneen,24,,Western,Douglas,22 Aug 20
84,28.67,Natalie Miller,-6,,Kingston & Poly,Kingston,10 Oct 20
85,27.44,Zoe Large,5,,Swindon,Swindon,18 Jan 20
86,26.90,Laura Rock,8,Lyn Orbell,Birchfield H,Nuneaton,12 Jul 20
86,26.90,Kimberley Martin,6,,Hastings AC,Lewes,4 Oct 20
88,26.20,Lara Hambleton,-5,,"Aldershot, Farnham & District",Portsmouth,27 Sep 20
89,25.08,Charlotte Spruzen,-1,,Cambridge Uni,Lee Valley,29 Feb 20
90,25.03,Jessica Mead,-3,Sandra Woodman,Yate,Yate,16 Aug 20
,54.79,Cathrine Beatty,5,John Pearson,Bristol & West,Milton Keynes,29 Feb 20
,46.54,Simbiyat Sikiru,-5,,Woodford Green Essex Ladies,Lee Valley,16 Aug 20
,39.82,Aine Marie McBride,-7,,Northern Ireland Schs,Belfast,12 Sep 20
,37.49,Rosa Melaccio,8,,Bristol & West,Whitehall,22 Sep 20
,31.65,Caitlin Shepperson,,,Oxford Uni,Lee Valley,29 Feb 20
,25.21,Teele Palumaa,8,,Thames Valley,Lee Valley,29 Feb 20
