Rank,Performance,Name,Year,Coach,Club,Venue,Date
Rank,Perf,Name,Year,Coach,Club,Venue,Date
1,68.83,Andrew Jordon,2,,Blackheath & Bromley,Woodford,27 Jun 10
2,66.79,Nick Miller,1,Leonard Miller,Border,Bedford,19 Jun 10
3,63.43,Tim Williams,2,Lorraine Shaw,Gloucester,Hendon,8 Aug 10
4,63.01,Andrew Elkins,1,Dennis Elkins,Shaftesbury Barnet,Woodford,27 Jun 10
5,62.69,Jay Hill,3,Laurence Garnham,Enfield & Haringey,Exeter,8 Aug 10
6,61.21,Peter Clarke,3,Ron Bowden,Woodford Green Essex Ladies,Bedford,19 Jun 10
7,60.34,Sam Ridgway,1,Jack Kee,Marshall Milton Keynes,Kingston,25 Apr 10
8,58.99,Callum Brown,1,John Painter,City of Norwich,Norwich,28 Dec 10
9,58.14,Dempsey McGuigan,1,,Shaftesbury Barnet,Hendon,8 May 10
10,57.81,Matt Lasis,1,Karl Lasis,Crawley,Crawley,12 Jun 10
11,57.15,Callum Woon,2,,Isle of Wight,Winchester,27 Jun 10
12,56.66,Jake Haylock,2,Michael Davies,Blackheath & Bromley,Norwich,25 Jul 10
13,56.53,Kyle Randalls,2,,Falkirk,Edinburgh,23 May 10
14,55.93,Adam Davies,2,Elizabeth Rowland,Sale Harriers Manchester,Sportcity,13 Jun 10
15,55.92,Rob Dean,2,,City of Stoke,Birmingham,9 Jul 10
16,55.43,Osian Jones,1,Dennis Roscoe,Menai,Cardiff,29 Aug 10
17,55.04,Jonathan Edwards,1,John Edwards,Huntingdonshire,Hendon,28 Aug 10
18,54.23,Ross McManus,1,,Edinburgh AC,Edinburgh,11 Apr 10
19,53.71,Ryan McDowall,1,,Border,Carlisle,23 Aug 10
20,53.43,Ashley Andrews,2,Lorraine Shaw,Forest of Dean AC,Carmarthen,10 Jul 10
21,53.35,Ashley Ralph,3,Garry Power,St. Albans AC,Reading,23 May 10
22,52.84,Craig Murch,1,Gary Herrington,Rugby & Northampton,Loughborough,22 Aug 10
23,51.61,Tom Pearson,3,,Charnwood,Loughborough,6 Jul 10
24,51.49,Ben Daley,1,Brian Walsh,Middlesbrough (Mandale),Glasgow,25 Jul 10
25,50.91,Richard Humphries,1,,Herts Phoenix,Ware,23 May 10
26,50.75,Bradley Reece,3,,Havering,Ware,23 May 10
27,50.23,Mark White,1,Thomas Grierson,Windsor Slough Eton & Hounslow,Watford,11 Aug 10
28,50.19,Sam Blain,1,,City of York,Eton,13 Nov 10
29,49.94,Simon Evans,2,Eric Davison,Worthing,Crawley,12 Jun 10
30,49.84,Marcus Francis,3,Joseph Walker,Derby,Rugby,23 May 10
31,49.64,Matthew Evans,2,Eric Davison,Worthing,Portsmouth,15 Sep 10
32,48.07,Hadan Brittain,1,Paul Gair,Boston,Grantham,5 Sep 10
33,47.33,Matthew Norton,1,,Mendip,Exeter,19 Jun 10
34,47.19,Harry Keeler,1,,Harrow,Woodford,27 Jun 10
35,46.89,Chad Rhodes,1,,Tipton,Tipton,23 May 10
36,45.97,Alexander Holdsworth,1,,Bedford & County,Ware,23 May 10
37,45.66,Jordan Bowser,1,,Gateshead,Edinburgh,23 May 10
38,45.59,Lee Doran,1,Bob Broadbridge,Newbury,Hendon,8 Aug 10
39,45.12,Andrew McLaughlan,1,,Kilbarchan,Grangemouth,10 Apr 10
40,44.94,Chris Darling,2,,Lewes,Crawley,12 Jun 10
41,44.39,Alex Caine,1,,Medway & Maidstone,Hendon,29 Aug 10
42,43.96,Gareth Winter,2,Lorraine Shaw,Severn,Connah's Quay,15 May 10
43,43.94,Sam Taylor-Outridge,1,Chris Watts,Marshall Milton Keynes,Horspath,9 May 10
44,43.91,Matthew Halton,1,Mo Pearson,Newquay & Par,Yate,25 Jul 10
