Rank,Performance,Name,Year,Coach,Club,Venue,Date
Rank,Perf,Name,Year,Coach,Club,Venue,Date
1,62.97,Rafal Morawski,2,Jamie Bath,Ealing Southall & Middx,Crawley,30 Aug 10
2,59.67,Taylor Campbell,2,Jamie Bath,Windsor Slough Eton & Hounslow,Woodford,3 Aug 10
3,51.10,James Lasis,2,Karl Lasis,Crawley,Crawley,3 Sep 10
4,51.03,Jack Barton,2,Brian Lockley,East Cheshire,Liverpool,18 Sep 10
5,50.98,Kieran Phillips,1,,Isle of Wight,Hendon,28 Aug 10
6,50.39,Nicholas Hunt,2,Erik Little,Bournemouth,Bournemouth,12 Sep 10
7,48.62,Ross Douglas,2,Jim Edwards,Charnwood,Birmingham,1 Aug 10
8,48.36,Dominic Palmer-Leandre,2,Richard Turner,Enfield & Haringey,Sportcity,5 Sep 10
9,48.33,Thomas Head,2,Paul Head,Newham & Essex Beagles,Watford,14 Jun 10
10,48.16,James Hamblin,2,Robert Earle,Colchester H,Braintree,15 Sep 10
11,47.52,Robbie James,2,,Hastings AC,Crawley,12 Jun 10
12,46.65,Ciaran Wright,1,,Falkirk,Grangemouth,24 Jul 10
13,46.60,Ben Main,1,,Shettleston,Bedford,21 Aug 10
14,46.16,Thomas Fellowes,2,Philip Wells,Hereford,Hereford,18 Sep 10
15,46.02,Jamie Potton-Burrell,2,,Luton,Bury St. Edmunds,19 Sep 10
16,45.96,Lewis Barnes,2,Jack Kee,Marshall Milton Keynes,Watford,19 Sep 10
17,44.66,Oliver Dancer,2,David Pope,Rugby & Northampton,Birmingham,1 Aug 10
18,43.99,Ross McAllister,2,,Northern Ireland Schs,Tullamore IRL,5 Jun 10
19,43.77,Sam Grant,2,,Southend,Walthamstow,18 Jul 10
20,43.54,Jac Palmer,2,Adrian Palmer,Cardiff,Cwmbran,4 Aug 10
21,43.49,Sam Matthews,2,,Lagan Valley,Magherafelt,25 Aug 10
22,42.82,Jacob Lange,2,Lorraine Shaw,Gloucester,Hereford,18 Sep 10
23,42.44,Gus Antons,2,,Gateshead,Sportcity,5 Sep 10
24,42.43,James Mead,2,Shirley Quinn,Chelmsford,Lee Valley,15 Aug 10
25,42.28,Niall Healy,2,,Tonbridge,Birmingham,10 Jul 10
26,42.12,Oliver Prescott-Frost,1,,Chelmsford,Lee Valley,15 Aug 10
27,41.11,Sam Lloyd,2,David Pope,Rugby & Northampton,Tipton,17 Jun 10
28,41.10,Matteo Holmes,2,John Davies,Cardiff,Cardiff,12 Jun 10
29,40.92,Woody Cox,1,Eric Davison,Worthing,Portsmouth,15 Sep 10
30,40.88,Darren Foster,1,,Corby,Corby,9 Sep 10
31,40.37,Oliver Thompson,2,Gary Howe,Thetford,Peterborough,30 Aug 10
32,39.87,Tom Kellett,2,,West Cheshire,Birmingham,19 Jun 10
33,39.18,Luke Murray,2,Richard Turner,Enfield & Haringey,Hendon,1 Aug 10
34,38.19,Luis Bosio,2,,Wirral,Bebington,12 Jun 10
35,38.06,Isaac Francis,2,Richard Pilling,Eastbourne,Hastings,20 Jun 10
36,37.52,Francis Mulvaney,2,Ronnie Bomba,Liverpool H,Liverpool,18 Sep 10
37,37.44,Matthew Szepietowski,2,Terry Letheby,Walton,Crawley,30 Aug 10
38,37.35,James McCreanor,2,,Northern Ireland Schs,Tullamore IRL,5 Jun 10
39,37.34,Jake Banevicius,2,Mo Pearson,Cornwall AC,Par,12 Jun 10
40,37.28,Sean Bastable,2,,Tipton,Birmingham,12 Jun 10
41,37.03,Taylor Caton-Hand,1,Philip Thomas,St. Helens Sutton,Liverpool,18 Sep 10
42,36.67,Martin Walker,2,,Taunton,Exeter,31 Aug 10
43,36.40,Anthony Gillatt,2,Edel Meagher,Scunthorpe & District AC (Defunct),Hull,4 Sep 10
44,35.98,Andrew Bevan,2,,Essex Schs,Watford,14 Jun 10
45,35.72,Scott McMurtry,2,,Ballymena & Antrim,Magherafelt,25 Aug 10
46,35.69,C Grant,2,,Essex Schs,Chelmsford,2 Apr 10
46,35.69,R Simpson,2,,Northumberland Schs,Gateshead,19 Jun 10
48,35.27,Ashley Henderson,2,,Bedford & County,Colchester,15 Aug 10
49,35.18,Elias Dellas,2,,Essex Schs,Chelmsford,12 Jun 10
50,34.96,William Grimsey,1,Carol Jackson,Enfield & Haringey,Lee Valley,25 Apr 10
51,34.77,Josh Prentice,1,David Hussey,Southend,Dartford,16 May 10
52,34.70,Warren Jones,2,,Sussex Schs,Crawley,12 Jun 10
53,34.60,Joseph Marchant,2,Ewan Simmonds,Winchester,Portsmouth,20 Jun 10
54,34.44,Luke Nightingale,2,,Peterborough,Hendon,28 Aug 10
55,34.43,Oliver Pescott-Frost,1,,Chelmsford,Grantham,19 Jun 10
56,34.20,Bobby Jones,1,,Swansea,Sportcity,5 Sep 10
57,34.19,Jack Sheldon,2,,Sale Harriers Manchester,Sportcity,5 Sep 10
58,34.18,Cameron Pitt,2,,Essex Schs,Chelmsford,8 May 10
59,33.52,Charlie Brown,2,,Essex Schs,Chelmsford,12 Jun 10
60,33.51,Jordan Small,1,,Rotherham,Mansfield,30 Aug 10
61,33.44,Nathan Carty,2,,Croydon,Hendon,1 Aug 10
62,33.35,Andrew Callaway,2,,Liverpool H,Cudworth,1 Aug 10
63,33.31,John Dent,2,,Border,Carlisle,20 Jun 10
64,33.23,Jake Grundy,1,John Nicholson,Bolton,Liverpool,18 Sep 10
65,33.05,Jake Fuller,2,,Daventry,Stourport,16 May 10
66,32.79,Elliot Roofe,2,,Cambridge H,Battersea Park,12 Jun 10
67,32.76,Declan Barnes,1,Michael Doran,Seaton,Gateshead,19 Jun 10
68,32.57,Callum Griffiths,2,,City of Stoke,Sportcity,4 Sep 10
69,32.44,Mark Rainey,2,,Northern Ireland Schs,Antrim,21 May 10
69,32.44,Ryan Davies,2,,City of Stoke,Stoke,12 Jun 10
71,32.43,Callum Imrie,2,,City of Derry,Antrim,21 May 10
72,32.37,William Phillips,2,,Basildon,Grays,11 Jul 10
73,32.23,Chris Stephenson,2,,City of York,Hull,4 Sep 10
74,32.17,Louis Mascarenhas,2,,Blackheath & Bromley,Sportcity,4 Sep 10
75,32.09,Kieran Jones,2,,Wirral,Blackpool,15 Jun 10
76,31.70,Sam Lloyd,1,,Hillingdon,Corby,12 Jun 10
77,31.65,Matthew Blandford,2,Sam Harrison,Tonbridge,Ashford,9 May 10
78,31.48,Daniel Preston-Routledge,2,Nicola Carter,Kingston upon Hull,Sheffield (W),2 May 10
79,31.47,Niklas Aarre,2,Jan Aarre,Daventry,Stourport,16 May 10
80,31.44,Dwight Caulker,2,,Middlesex Schs,Hillingdon,15 Jun 10
81,31.31,Max Stirling,2,,Edinburgh AC,Grangemouth,1 Aug 10
82,31.30,Kallum-Lee Evans,2,,Carmarthen,Cardiff,18 Jul 10
83,31.07,Matthew Sinclair,2,,Essex Schs,Chelmsford,8 May 10
84,30.99,Joe Lascaris,2,,Woodford Green Essex Ladies,Eltham,16 May 10
85,30.86,Ben Jones,1,,Dacorum,Watford,2 Jun 10
86,30.82,Shaun Livett,1,Ronnie Bomba,Menai,Cardiff,29 Aug 10
87,30.78,Jack Rogers,2,,Bedford & County,St. Albans,18 Jul 10
88,30.54,G Wright,2,,Northumberland Schs,Gateshead,19 Jun 10
89,30.50,Curtis Knight,2,Terry Letheby,Walton,Walton,20 Jun 10
90,30.37,Jamie Kuehnel,1,Bob Broadbridge,Newbury,Swindon,20 Nov 10
91,30.32,Cameron Simpson,1,,City of York,York,12 Jun 10
92,30.24,Jack Fleet,2,,Kent Schs,Horsham,19 Jun 10
93,30.10,James Simpson Stern,2,,Hereford & Worcester Schs,Tipton,17 Jun 10
94,29.88,Kai Jones,1,Lukasz Barzyk,Ealing Southall & Middx,Lee Valley,2 May 10
95,29.69,Jack Beynon,1,Gareth Jones,Swansea,Cardiff,7 Aug 10
96,29.66,Matthew Williams,1,Ian Robinson,Wrexham,Wrexham,24 Jul 10
97,29.64,D Westwood,2,,Cleveland Schs,Middlesbrough,12 Jun 10
98,29.62,Cameron Crawford,2,,Windsor Slough Eton & Hounslow,Sportcity,5 Sep 10
99,29.54,Liam Wright,2,,Gateshead,Middlesbrough,18 Jul 10
100,29.42,William Cox,2,,Cambridge & Coleridge,Norwich,8 Aug 10
101,29.38,Alex Riley-Jones,2,,Basingstoke & Mid Hants,Basingstoke,29 Aug 10
102,29.37,Rhys Cleverley,1,,Bedford & County,Bedford,11 Jul 10
