Rank,Performance,Name,Year,Coach,Club,Venue,Date
Rank,Perf,Name,Year,Coach,Club,Venue,Date
1,67.27,Ciaran Wright,2,,Falkirk,Grangemouth,3 Jul 13
2,60.70,Munroe Ritchie,2,Karl Lasis,Crawley,Hull,12 Oct 13
3,60.19,Leslie Parkes,2,Malcolm Rogers,Havant,Birmingham,5 Jul 13
4,59.47,Ben Main,2,,Shettleston,Linwood,21 Aug 13
5,59.29,Jack Mirfin,2,Brian Lockley,East Cheshire,Birmingham,5 Jul 13
6,58.76,Darren Foster,2,,Corby,Birmingham,5 Jul 13
7,57.20,Nathan Thomason,1,John Parkin,Colwyn Bay,Dublin IRL,20 Jul 13
8,56.80,Jamie Kuehnel,1,Bob Broadbridge,Newbury,Bedford,1 Sep 13
9,56.38,Mark Guthrie,2,,Central,Bedford,1 Sep 13
10,56.14,George Marvell,1,Mick Shortland,Stevenage & North Herts,Bury St. Edmunds,9 Nov 13
11,55.63,Isaac Huskisson,2,,Nene Valley,Sandy,7 Sep 13
12,55.52,Jake Norris,1,Paul Dickenson,Windsor Slough Eton & Hounslow,Hull,13 Oct 13
13,53.70,Jack Wuidart,1,,Bedford & County,Ashford,18 Aug 13
14,53.36,Martin Croft,2,Brian Walsh,Middlesbrough (Mandale),Middlesbrough,8 Jun 13
15,52.65,Jonny Haines,1,Karl Lasis,Crawley,Crawley,8 Jun 13
15,52.65,Josh Prentice,2,Philip Sergeant,Chelmsford,Tonbridge,28 Jul 13
17,52.58,Jordan Small,2,,Rotherham,Birmingham,5 Jul 13
18,51.05,Alex Lynch,1,Michael Davies,Ashford AC,Ashford,26 May 13
19,50.32,Toby Redman,2,,Tonbridge,Bromley,10 Jun 13
20,50.05,Patrick Swan,1,Mo Pearson,Cornwall AC,Nottingham,28 Jul 13
21,50.04,Edward Jeans,1,Bob Welfare,Preston,Hull,12 Oct 13
22,48.83,Daniel Howe,2,Gary Howe,Thetford,Woodford,28 Apr 13
23,48.12,Billy Praim-Singh,1,Robert Earle,Southend,Walthamstow,30 Nov 13
24,48.06,Shaun Livett,2,Ronnie Bomba,Menai,Cardiff,6 Jul 13
25,47.23,Luke Staples,2,Anna Hopcroft,Lewes,Crawley,8 Jun 13
26,46.54,Craig Mullins,1,,Moorfoot,Livingston,7 Sep 13
27,45.93,Woody Cox,2,Karl Lasis,Crawley,Crawley,25 May 13
28,45.68,Oscar Bryce,1,Stephen Lebond,Hallamshire,Hull,20 Jul 13
29,45.33,Joshua Booth,2,,Sale Harriers Manchester,Wigan,14 Apr 13
30,45.02,Josh Jordan,1,,City of Lisburn,Belfast,16 Jun 13
31,45.00,Yak Tuna,2,,Swindon,Salisbury,8 Jun 13
32,44.66,Jack Mitchell,1,Margery Swinton,Edinburgh AC,Inverness,12 Jun 13
33,44.17,Lewis Jones,1,Michael Jones,Sussex Schs,Crawley,8 Jun 13
34,43.72,Daniel Webb,1,Paul Dickenson,Reading AC,Eton,29 Sep 13
35,43.71,Jonathan Briggs,1,,BRAT,Stoke,25 Aug 13
36,43.59,James Kennedy,1,,Crawley,Crawley,8 Jun 13
37,43.44,Robert Tingle,2,,Preston,Wigan,8 Jun 13
38,43.37,Zac Welsh,2,,Somerset Schs,Yeovil,8 Jun 13
39,43.24,Alexander Reynolds,1,Shirley Quinn,Chelmsford,Chelmsford,27 Oct 13
40,43.00,George Clark,1,,Basildon,Basildon,7 Jul 13
41,42.63,Gavin Cochrane,2,,Falkirk,Livingston,7 Sep 13
42,42.18,Tom Peters,1,Paul Rees,Bournemouth,Bournemouth,22 Sep 13
43,41.99,Sam Lancaster,1,Paul Evenden,City of Sheffield,Wakefield,15 Sep 13
44,41.87,Jacob Williams,1,,Brecon,Cardiff,2 Jun 13
45,41.86,Lee Nightingill,1,Murray Grant,Taunton,Exeter,15 Jun 13
46,41.81,Jacob North,2,David Pope,Rugby & Northampton,Corby,8 Jun 13
47,41.71,Owen Murphy,1,,Cwmbran,Newport,1 Sep 13
48,41.49,Nathan Billington,1,Michael Hitchon,Blackburn,Liverpool,18 Aug 13
49,40.64,Rory Kelly,1,Paul Kelly,Woking,Portsmouth,28 Jul 13
50,40.40,Aarron Meakin,2,,Ashford AC,Ashford,26 May 13
51,40.34,Will Leising,1,,Wirral,Wrexham,28 Apr 13
52,40.20,Aedan Slack,1,Noel Moss,Cambridge & Coleridge,Cambridge,19 May 13
53,39.60,Ryan Grimwade,1,Alyson Hourihan,Cardiff,Carmarthen,25 Jul 13
54,39.50,Samuel Jackson,1,Robert Earle,Colchester H,Woodford,30 Jul 13
55,39.10,Laurence Surman,2,Zane Duquemin,Derby,Loughborough,28 Jul 13
56,38.55,Peter Cassidy,1,Paul Kelly,Guildford & Godalming,Crawley,26 Aug 13
57,38.41,Chris Cambridge,2,,City of York,York,10 Aug 13
58,38.19,Harry Onions,2,Sam Cater,Bromsgrove & Redditch,Stourport,30 Jun 13
59,37.90,James Hebbard,2,Anna Hopcroft,Crawley,Crawley,25 May 13
60,37.73,William Mepham,1,,Carmarthen,Cardiff,6 Jul 13
61,37.50,Ryan Smith,2,Dennis Elkins,Dorchester,Bournemouth,20 Aug 13
62,37.49,Jonathan Pownall,1,Chris Watts,Marshall Milton Keynes,Leicester,28 Apr 13
63,37.27,Ben Brearley,2,William Bushnell,New Forest Junior,Croydon,28 Jul 13
64,37.13,Alexandros Paparakis,2,,Glasgow City,Linwood,21 Aug 13
65,36.97,Matthew Ridge,2,Paul Rees,Bournemouth,Bournemouth,20 Aug 13
66,36.84,Aron Rapacioli,1,,Hertfordshire Schs,Hemel Hempstead,8 Jun 13
67,36.56,Scott Jamieson,2,,Ayr Seaforth,Aberdeen,17 Aug 13
68,36.45,Jonah Branch,2,John Simpson,Halifax,Grimsby,16 Jun 13
69,36.34,Zach Wooldridge,1,Angelique Arthurton,Basildon,Stevenage,8 Sep 13
70,36.18,Oliver Parker,2,,Stratford-upon-Avon,Stratford-upon-Avon,7 Sep 13
71,36.01,Paul Darby,2,,Tipton,Sutton Coldfield,28 Jul 13
72,35.75,Jon Jo Fanning,1,David Pope,Rugby & Northampton,Cardiff,28 Jul 13
72,35.75,Jacob Lloyd,1,,Sale Harriers Manchester,Connah's Quay,29 Sep 13
74,35.26,Seb Laughton,1,,Andover,Portsmouth,14 Sep 13
75,35.25,Shivam Pathak,2,,Windsor Slough Eton & Hounslow,Birmingham,8 Sep 13
76,35.18,Jonathan Jones,1,Darren Andrews,Forest of Dean AC,Worcester,8 Jun 13
77,34.20,Connor Notley,1,Graham Felton,Royal Sutton Coldfield,Sutton Coldfield,28 Jul 13
78,34.13,Jake McDowell,1,,Border,Ashton-under-Lyne,28 Jul 13
79,34.08,Benjamin Myburgh,2,,South London,Crawley,26 Aug 13
80,34.05,Bruce Flockhart,2,,Inverness,Gothenburg SWE,29 Jun 13
81,34.00,Matthew McKinney,2,,City of Lisburn,Antrim,17 May 13
82,33.79,Joe Steer,1,Karl Lasis,Crawley,Crawley,26 Aug 13
83,33.43,Nicholas Pritchard,2,Alan Hall,Guildford & Godalming,Bracknell,16 Jun 13
84,32.94,Kieran Westlake,2,Mo Pearson,Cornwall AC,Exeter,1 Sep 13
85,32.67,Keir Taiani,2,,Essex Schs,Chelmsford,8 Jun 13
86,32.64,Dan Head,1,Mo Pearson,Cornwall AC,Carn Brea,14 Jul 13
87,32.48,George Allen,1,,Newquay & Par,Carn Brea,8 Jun 13
88,32.44,Alex Shield,1,,Northumberland Schs,Gateshead,8 Jun 13
89,31.96,Oliver Reah,2,Malcolm Taylor,Kidderminster & Stourport,Brierley Hill,2 Jun 13
90,31.65,Joe Ganly,2,,Unattached,Woodford,4 Jun 13
91,31.55,Jordan Turner,1,,Thetford,Sandy,7 Sep 13
92,31.46,Alex Christie,2,,City of York,York,8 Jun 13
93,31.06,Nathan Fergus,1,,South London,Dartford,28 Jul 13
94,31.03,Declan Molloy,2,,Preston,Blackpool,25 May 13
95,30.90,Thomas Guy,2,Malcolm Wallace,St. Albans AC,Watford,14 Apr 13
96,30.56,Cecil MacCarthy,2,,Thames Valley,Lee Valley,25 May 13
97,30.55,George Armstrong,1,Michael Swain,Leeds City,Wakefield,30 Jun 13
98,30.38,Samuel Rigby,2,,Cannock & Stafford,Horspath,28 Apr 13
99,29.99,Christopher Scanlan,1,,Shettleston,Grangemouth,5 Jun 13
100,29.94,Reuben Elliott,1,Darren Andrews,Forest of Dean AC,Cheltenham,24 Jul 13
101,29.91,Mark Flitcroft,2,,Basingstoke & Mid Hants,Bracknell,16 Jun 13
102,29.61,Daniel Chalwin,1,Ian Byett,Basingstoke & Mid Hants,Reading,14 Sep 13
103,29.53,Giacomo Spagnoli,2,,Croydon,Croydon,28 Jul 13
104,29.52,Charlie Gallagher,2,,Stratford-upon-Avon,Stratford-upon-Avon,7 Sep 13
105,29.48,L Currans,2,,Essex Schs,Chelmsford,8 Jun 13
106,29.41,James Breslin,1,Jacqueline Cherry,Oxford City,Abingdon,4 Sep 13
107,29.28,Callum Molloy,1,,Dacorum,Cambridge,8 Sep 13
108,29.18,Jake Thompson,1,,Regent House,Antrim,25 May 13
109,29.14,George Wrona,2,,Preston,Edinburgh,30 Jun 13
110,29.09,F Summers,2,,Cheshire Schs,Gateshead,1 May 13
111,29.08,Cecil McCarthy,2,,London Schs,Battersea Park,8 Jun 13
112,28.95,Obi Egbunike,1,Clyde Gordon,Shaftesbury Barnet,Birmingham,8 Sep 13
113,28.77,Ben Bright,1,,"Aldershot, Farnham & District",Winchester,7 Jul 13
114,28.75,Jonothan Swain,1,,City of York,York,8 Jun 13
115,28.62,Peter Thomas,1,,Chichester,Winchester,28 Apr 13
116,28.47,Johnny Grant,1,,Ross County,Inverness,25 May 13
117,28.00,Joe Kateb,1,,Torbay,Exeter,8 Jun 13
118,27.73,Conor Hewitson,1,,Aberdeen,Aberdeen,2 Jul 13
119,27.68,Dean Valentine,1,,Crewe & Nantwich,Bebington,28 Jul 13
120,27.63,Will Halford,1,Darren Andrews,Forest of Dean AC,Cheltenham,8 Jun 13
121,27.59,Jamie Crossan,2,,Law,Wishaw,5 May 13
122,27.51,Simon Reynolds,2,,Liverpool H,Liverpool,28 Apr 13
123,27.16,Sam Jones,1,Peter Roberts,Swansea,Birmingham,28 Apr 13
124,27.03,Joseph Rees,2,,Exeter,Exeter,27 May 13
124,27.03,Jacob Glover,1,,Wakefield,Wakefield,4 Aug 13
126,27.00,Dominic Karmalita,1,,Cleethorpes,Wakefield,15 Sep 13
127,26.96,Steven Nugent,2,,Gateshead,Liverpool,28 Apr 13
128,26.94,Josh Harding,2,,Lincolnshire Schs,Boston,8 Jun 13
129,26.81,Adam Warren,1,,Somerset Schs,Yeovil,8 Jun 13
130,26.71,Euan McKie,1,Raymond Radley,West Suffolk,Bury St. Edmunds,9 May 13
131,26.66,Stuart Pleasance,1,Mark Fribbens,Braintree,Bury St. Edmunds,15 Sep 13
132,26.24,Josh Willcox,1,,Cambridge H,Dartford,26 Jun 13
