Rank,Performance,Name,Year,Coach,Club,Venue,Date
Rank,Perf,Name,Year,Coach,Club,Venue,Date
1,73.27,Thomas Williams,2,,Wrexham,Tullamore IRL,24 Mar 24
2,60.31,James Campbell,2,Margaret Nicholls,Ipswich,Walton,11 Aug 24
3,60.21,Joshua Reibbitt,2,John Little,Carlisle Aspatria,Carmarthen,20 Jul 24
4,59.59,Jack Burgess,2,Eric Davison,City of Portsmouth,Portsmouth,22 Sep 24
5,54.95,Ethan Kendrick,2,Matthew Sutton,Wolverhampton & Bilston,Telford,8 Jun 24
6,54.85,Aaron Axtell,1,David Callaway,Southampton,Eton,28 Apr 24
7,53.85,Soham Das,2,,Reading AC,Birmingham,12 Jul 24
8,52.32,Joe Buscombe,2,,Southend,Loughborough,30 Aug 24
9,52.08,Archie Kinneir,2,Bob Broadbridge,Swindon,Teford,22 Jun 24
10,50.83,Owen Fileman,2,Elaine Fileman,Tavistock,Exeter,8 Jun 24
11,49.28,Jack Hancock,1,Kevin Murch,Rugby & Northampton,Telford,21 Sep 24
12,46.74,William Richards-Baldwin,1,Lorraine Shaw,Gloucester,Telford,21 Sep 24
13,46.59,George Henderson,1,,Blackheath & Bromley,Horspath,8 Sep 24
14,46.43,Alfie Dodds,1,Jessica Arnison,Leigh,Sportcity,3 Jul 24
15,46.04,Edward Tyler,1,,Tonbridge,Ashford,8 Aug 24
16,45.64,Dean Wilson,1,,Aberdeen,Aberdeen,28 Jul 24
17,45.51,Oscar Dove,1,,Chelmsford,Chelmsford,21 Jul 24
18,45.06,Blake Gates,1,Richard Scoones,Swale Combined,Ashford,8 Aug 24
19,44.59,Louie Reid,1,John Moreland,City of York,Sportcity,1 Sep 24
20,44.50,Thomas Norkett,2,,Thetford,Woodford,1 Sep 24
21,44.04,Rhian Mitchell,1,Kevin Mitchell,Kilmarnock,Kilmarnock,12 May 24
22,43.65,Gabriel Barnard Seidel,2,,Brighton & Hove,Crawley,11 May 24
22,43.65,Milan Snarskis,1,,Stevenage & North Herts,Horspath,8 Sep 24
24,43.53,Gethin Brown,1,Lesley Brown,Deeside AAC,Carmarthen,20 Jul 24
25,43.21,George Ross,2,,Inverness,Grangemouth,18 Aug 24
26,43.16,Alexander Brigden,1,,SS Athletics,Chelmsford,11 May 24
27,43.15,Ben Roberts,1,Michael Martin,Preston,Wrexham,28 Sep 24
