Rank,Performance,Name,Year,Coach,Club,Venue,Date
Rank,Perf,Name,Year,Coach,Club,Venue,Date
1,69.17,Owen Merrett,2,Matt Spicer,Yate,Lee Valley,15 Aug 20
2,59.99,Harry Ricketts,2,Bob Broadbridge,Swindon,Lee Valley,15 Aug 20
3,57.47,James Viner,2,Matt Spicer,Yate,Yate,16 Aug 20
4,50.11,Damon King,3,Leonard Miller,Border,Hull,10 Oct 20
5,49.65,Matthew Heywood,2,Michael Hitchon,Blackburn,Stretford,19 Sep 20
6,47.57,Jake Bausor,2,,Essex Schs,Woodford,10 Oct 20
7,46.64,Noah Wooding,1,Paul Head,Dartford H,Dartford,12 Sep 20
8,46.35,Billy White,1,,Cambridge & Coleridge,Moulton,26 Sep 20
9,42.39,Archie Small,2,,Leamington,Leamington,12 Sep 20
10,41.94,Fadi Khaled,1,,Dartford H,Dartford,12 Sep 20
11,41.14,Dylan Menhennet,1,Andrew Compton,Forest of Dean AC,Moulton,26 Sep 20
12,40.81,Samuel Breese,2,Ken Goodger,Newport H,Yeovil,29 Aug 20
13,40.39,Aaron Holliday,1,John Little,Carlisle Aspatria,Grangemouth,11 Jan 20
14,39.98,Luca Soave,2,Sabrina Mace,Walton,Walton,6 Sep 20
15,38.89,Cameron Unsworth,1,Joanne Harding,Stockport,Stretford,22 Aug 20
16,38.52,Jack Burns,2,,Jersey,St. Clement,18 Aug 20
17,37.56,Caleb Richardson,1,Lisa Grimwade,Aberdare Valley,Swansea,6 Sep 20
18,37.42,Lewis Shaw,2,Thomas Graham,Kilbarchan,Linwood,10 Oct 20
19,36.81,George Lowe,1,Peter Hancock,Preston,Stretford,22 Aug 20
20,36.60,Joseph Scase,2,,Cambridge & Coleridge,Cambridge,10 Sep 20
21,36.38,Daniel Stonehouse,2,,Lewes,Lewes,12 Sep 20
22,35.52,Luke Finch,1,Chris Howe,Woodford Green Essex Ladies,Woodford,14 Mar 20
23,35.11,Gabriel Li La-Vigars,2,,Kingston upon Hull,Hull,10 Oct 20
24,33.89,James Isaacs,2,Neville Thompson,Shaftesbury Barnet,Woodford,14 Mar 20
25,32.87,James Hayward,1,Glyndwr Pugh,Rhondda,Swansea,6 Sep 20
26,31.75,David Rose,2,,Perth Strathtay,Grangemouth,11 Jan 20
27,30.79,Alex Thomas,1,,Newport H,Cardiff,1 Mar 20
28,30.11,Ashley Tierney,3,,Crawley,Lewes,4 Oct 20
29,29.84,Ben Crosby,1,,Taunton,Yeovil,29 Aug 20
30,25.50,Dominik Rogaczewski,2,,Telford AC,Telford,26 Sep 20
31,24.33,Sebastian Burton,1,,Blackburn,Stretford,19 Sep 20
32,24.01,Jayden Lockyer,2,,Bournemouth,Bournemouth,20 Sep 20
,36.95,Cormac Odonnell,2,,Lifford Strabane,Belfast,16 Aug 20
