Rank,Performance,Name,Year,Coach,Club,Venue,Date
Rank,Perf,Name,Year,Coach,Club,Venue,Date
1,71.55,Jake Norris,1,Paul Dickenson,Windsor Slough Eton & Hounslow,Woodford,25 Sep 16
2,64.96,Jamie Kuehnel,2,Bob Broadbridge,Newbury,Portsmouth,25 Sep 16
3,64.42,George Marvell,1,Paul Dickenson,Stevenage & North Herts,Watford,15 May 16
4,63.01,Billy Praim-Singh,1,Robert Earle,Southend,Gateshead,8 Jul 16
5,62.82,Edward Jeans,1,Bob Welfare,Preston,Woodford,24 Sep 16
6,61.18,Levi Causton,1,Shirley Quinn,Chelmsford,Gateshead,8 Jul 16
7,61.07,Jonathan Jones,2,Darren Andrews,Gloucester,Gateshead,8 Jul 16
8,60.97,Peter Cassidy,2,Martin Cassidy,Guildford & Godalming,Horspath,21 Aug 16
9,59.86,Aaron Jeal,1,Brian Walsh,Middlesbrough (Mandale),Rotherham,26 Jun 16
10,58.48,Daniel Nixon,1,Trevor Hopkins,Middlesbrough (Mandale),Gateshead,8 Jul 16
10,58.48,Matthew James,1,John Little,Border,Grangemouth,20 Aug 16
12,58.43,Nathan Thomason,2,John Parkin,Colwyn Bay,Connah's Quay,24 Jul 16
13,57.85,Alexander Reynolds,1,Shirley Quinn,Chelmsford,Chelmsford,15 May 16
14,57.65,Craig Mullins,2,Susan McKelvie,Moorfoot,Grangemouth,1 May 16
15,56.98,Isaac Huskisson,3,,Nene Valley,Peterborough,8 Sep 16
16,56.59,Patrick Price,1,Gary Herrington,Rugby & Northampton,Gateshead,8 Jul 16
17,53.88,Joe Rogers,1,,Bedford & County,Aldershot,29 May 16
18,53.70,Munroe Ritchie,2,Karl Lasis,Crawley,Harrow,1 May 16
19,53.60,Jonny Haines,2,Karl Lasis,Crawley,Horspath,21 Aug 16
20,53.31,Ben Main,3,,Shettleston,Grangemouth,1 May 16
21,53.23,Michael Dawes,1,,Banbury,Gateshead,8 Jul 16
22,52.68,Stephen McCorry,1,,Ballymena & Antrim,Tullamore IRL,5 Jun 16
23,51.54,Reiss Senior,1,Charlotte Nicholls,Herne Hill,Tooting Bec,9 Apr 16
24,50.67,Darren Foster,3,,Corby,Corby,15 May 16
25,50.65,Owen Murphy,2,,Blaenau Gwent,Swansea,29 May 16
26,50.50,Will Schofield,1,,Sale Harriers Manchester,Wrexham,25 Sep 16
27,49.93,Beau Morris,1,,Birchfield H,Leicester,14 May 16
28,49.82,Ruaridh Gray,1,Duncan Flockhart,Inverness,Inverness,27 May 16
29,49.64,Jack Mitchell,2,Margery Swinton,Moray,Inverness,14 May 16
30,49.45,Jack Wuidart,2,,Bedford & County,Bedford,26 Jun 16
31,49.17,Jonathan Briggs,2,,BRAT,Leicester,14 May 16
32,48.75,George Evans,2,Colin McCulloch,Shaftesbury Barnet,Bedford,4 Sep 16
33,48.60,Martin Croft,3,Brian Walsh,Middlesbrough (Mandale),Cleckheaton,24 Jul 16
34,47.51,Uche Amadi,1,Richard Turner,Enfield & Haringey,Hendon,26 Jun 16
35,46.91,Patrick Swan,2,Mo Pearson,Cornwall AC,Par,9 Apr 16
36,46.88,Daniel Webb,2,Paul Dickenson,Reading AC,Reading,25 Sep 16
37,46.62,Kieron Madden,1,,Newquay & Par,Exeter,5 Jun 16
38,46.34,Josh Jordan,2,,City of Lisburn,Antrim,20 May 16
39,45.66,Jacob Williams,2,,Brecon,Yeovil,24 Jul 16
40,45.50,Christopher Scanlan,2,,Shettleston,Grangemouth,20 Aug 16
41,45.41,Brandon Wright,1,Rob Careless,Notts,Loughborough,15 Jun 16
42,45.02,Lewis Jones,2,Michael Jones,Sussex Schs,Crawley,11 Jun 16
43,44.67,Jacob Lloyd,2,,East Cheshire,Connah's Quay,16 Apr 16
44,44.56,Aedan Slack,2,Noel Moss,Cambridge & Coleridge,Sandy,4 Aug 16
45,43.79,Oscar Bryce,2,Mike Corden,Hallamshire,Middlesbrough,1 May 16
46,43.53,Nathan Billington,2,Michael Hitchon,Blackburn,Blackburn,1 May 16
47,43.05,Liam Goodall,1,Graham Felton,Royal Sutton Coldfield,Grantham,29 May 16
48,42.57,Aaron Lewis,1,Karl Lasis,Crawley,Crawley,20 Mar 16
49,42.00,William Kerr,1,,Bedford & County,Horspath,1 May 16
50,41.92,Aaron Kilpatrick,3,,Northern Ireland Schs,Antrim,20 May 16
51,41.87,Jon Jo Fanning,2,David Pope,Rugby & Northampton,Rugby,24 Jul 16
52,41.00,Emmanuel Onyango,1,,Sussex Schs,Crawley,11 Jun 16
53,40.60,Andrew Nugent,1,,Gateshead,Gateshead,29 May 16
54,40.47,Callum Jones,1,Jaime Walker,Burton,Telford,1 May 16
55,40.33,Keiran Nicholls,2,James Coney,Andover,Portsmouth,15 May 16
56,40.15,Callum Houseman,1,,Cannock & Stafford,Sutton Coldfield,26 Jun 16
57,39.24,Rory Kelly,2,Paul Kelly,Woking,Kingston,29 May 16
58,38.81,Laurence Surman,3,Zane Duquemin,Derby,Nottingham,14 May 16
59,38.70,Charlie Shipton,1,Clive Thomson,Tavistock,Carn Brea,14 May 16
60,38.67,Jordan Turner,2,,Thetford,Horspath,21 Aug 16
61,38.61,Joseph Nicholson,1,,Thetford,Peterborough,31 Dec 16
62,37.37,Jonathan Pownall,2,Michael McNeill,Marshall Milton Keynes,Worcester,29 May 16
63,36.72,Karolis Narvilas,1,,Ealing Southall & Middx,Perivale,29 May 16
64,36.71,Oliver Hussey,1,,Dartford H,Mile End,29 May 16
65,36.42,Conor Hewitson,2,,Aberdeen,Grangemouth,20 Aug 16
66,36.30,Jake Darby,1,,Spenborough,Cleckheaton,29 May 16
67,35.55,Cameron Campbell,1,,Jersey,St. Clement,26 Nov 16
68,35.26,Connor McDonald,2,,Shetland,Lerwick,17 Apr 16
69,35.08,Edward Hill-King,1,Ewan Simmonds,Winchester,Portsmouth,15 May 16
70,34.54,Matteo Matricardi,1,,Reading AC,Reading,28 Mar 16
71,33.57,Iain Rees,1,Kim Weir,St. Mary's Richmond,Walton,24 Jul 16
72,31.64,Daniel Cork,3,Robert Eales,Newport H,Newport,24 Jul 16
73,31.61,Riley Hawkins,1,,Somerset Schs,Street,11 Jun 16
74,31.52,James Tate,2,Michael Swain,Skyrac,Cleckheaton,4 Sep 16
75,31.14,Robert Sims,2,Peter Wilson,Amber Valley & Erewash,Derby,3 Dec 16
76,31.11,Owen Penton-Voak,1,,Grantham AC,Boston,3 Apr 16
77,31.06,Ethan Diaz,2,,Sussex Schs,Crawley,11 Jun 16
78,30.71,William Watts,1,Duncan Flockhart,Inverness,Inverness,29 Apr 16
79,29.93,Arman Azaden,3,,Cardiff & The Vale Schs,Cardiff,2 Jul 16
80,29.88,Tom Ratsey,3,,Somerset Schs,Street,11 Jun 16
81,29.66,Isaac Wood,2,Barry Hawksworth,Derby,Derby,11 Sep 16
82,28.76,Leo Rowley,1,,Rotherham,Cleckheaton,29 May 16
83,28.39,Henry Fairclough,1,Paul Wilson,City of York,York,24 Jul 16
84,27.30,Henry Jeans,3,,Somerset Schs,Street,11 Jun 16
85,26.95,Dexter Hadley,3,,Afan Nedd Tawe Schs,Cardiff,2 Jul 16
86,26.54,Declan Gall,1,Nigel Reynolds,Dundee Hawkhill,Leeds,26 Jun 16
87,26.10,Dylan Reeves-Fellows,1,Paul Patten,Blackheath & Bromley,Bedford,4 Sep 16
88,26.09,Beck Phillips,1,Carolyn Franks,Cheltenham,Gloucester,26 Jun 16
89,25.97,Niklas Adeniji Adio,1,Jim Lawrence,Marshall Milton Keynes,Stoke,26 Jun 16
90,25.56,Dean Valentine,2,,Crewe & Nantwich,Crewe,29 May 16
91,25.16,Tom Dobbs,2,Robert Halliwell,Wigan & District,Ashton under Lyne,1 May 16
,60.28,Brendan O'Donnell,1,,Lifford/IRL,Bangor,16 Aug 16
