Rank,Performance,Name,Year,Coach,Club,Venue,Date
Rank,Perf,Name,Year,Coach,Club,Venue,Date
1,74.63,Mark Dry,5,,Woodford Green Essex Ladies,Kilmarnock,17 Aug 14
2,74.38,Nick Miller,-2,John Baumann,Border,Lubbock TX USA,16 May 14
3,73.52,Alex Smith,4,,Sale Harriers Manchester,Birmingham,28 Jun 14
4,72.58,Chris Bennett,3,Michael Jones,Shaftesbury Barnet,Birmingham,28 Jun 14
5,71.19,Andy Frost,11,Lorraine Shaw,Woodford Green Essex Ladies,Loughborough,1 Mar 14
6,70.07,Amir Williamson,5,Malcolm Fenton,Enfield & Haringey,Bedford,24 May 14
7,69.72,James Bedford,4,Dave Smith,Birchfield H,Hull,24 May 14
8,69.10,Michael Bomba,6,Ronnie Bomba,Liverpool H,Stretford,26 Aug 14
9,66.71,Chris Shorthouse,4,John Pearson,Birchfield H,Stoke,2 Aug 14
10,66.28,Jonathan Edwards,-1,John Edwards,Huntingdonshire,Cardiff,31 May 14
11,65.91,Osian Jones,-2,Dennis Roscoe,Liverpool H,Bedford,22 Jun 14
12,65.73,Callum Brown,-3,,City of Norwich,Bedford,22 Jun 14
13,65.00,Taylor Campbell,-5,Paul Dickenson,Windsor Slough Eton & Hounslow,Birmingham,28 Jun 14
14,63.72,Craig Murch,-2,John Pearson,Rugby & Northampton,Bedford,22 Jun 14
15,63.18,Alex Warner,3,Paul Head,Newham & Essex Beagles,Dartford,18 Jun 14
16,62.95,Michael Painter,-3,John Painter,City of Norwich,Bedford,24 Aug 14
17,62.80,Matthew Richards,6,,Cardiff,Loughborough,18 May 14
18,62.73,Tim Williams,-1,John Pearson,Gloucester,Bedford,22 Jun 14
19,61.86,Matthew Sutton,11,Steve Pearson,Wolverhampton & Bilston,Wrexham,28 Sep 14
20,61.29,Peter Smith,2,Dave Smith,Kingston upon Hull,Hull,4 May 14
21,61.10,Mike Floyd,16,Kevin Madden,Sale Harriers Manchester,Cardiff,10 May 14
22,60.25,Matt Lasis,-2,Karl Lasis,Crawley,Kingston,21 Jun 14
23,58.69,Thomas Head,-5,Paul Head,Newham & Essex Beagles,Tonbridge,25 Aug 14
24,58.63,John Pearson,26,,Charnwood,Loughborough,14 May 14
25,58.54,Jac Palmer,-5,Adrian Palmer,Cardiff,Cardiff,31 May 14
26,58.08,Ciaran Wright,-5,,Falkirk,Grangemouth,31 May 14
27,58.04,Harry Clarke,-3,,Woodford Green Essex Ladies,Chelmsford,24 May 14
28,57.63,Andrew Elkins,-2,Dennis Elkins,Shaftesbury Barnet,Bournemouth,24 May 14
29,57.55,Robert Moffett,-4,Gareth Moffett,Ballymena & Antrim,Grangemouth,31 May 14
30,57.21,Peter Clarke,1,Ron Bowden,Woodford Green Essex Ladies,Battersea Park,12 Jul 14
31,57.12,Jay Hill,1,Laurence Garnham,Newquay & Par,Exeter,17 Aug 14
32,56.97,Tom Parker,-3,Michael Davies,Blackheath & Bromley,Bromley,2 Aug 14
33,56.85,Oliver Barnfield,-1,,Wolverhampton & Bilston,Rugby,6 Jul 14
34,55.85,James Hamblin,-5,Robert Earle,Colchester H,Colchester,22 Jun 14
35,55.75,Roger Bate,9,,Trafford,Abingdon,9 Aug 14
36,55.30,Jason Robinson,3,John Pearson,Derby,Derby,13 Jul 14
37,55.26,Steve Whyte,28,,Thames Valley,Kettering,16 Aug 14
38,55.15,Matthew Bell,14,,Corby,Kettering,16 Aug 14
39,54.82,Ritchie Wells,3,Adrian Palmer,Swansea,Cardiff,10 Sep 14
40,54.80,Richard Martin,8,,Bedford & County,Chelmsford,2 Aug 14
41,53.95,Rob Careless,18,,Notts,Derby,24 May 14
42,53.80,Robert Earle,32,,Colchester H,Colchester,22 Jun 14
43,53.56,James Lasis,-4,Karl Lasis,Crawley,Leigh,5 Jul 14
44,53.40,Joseph Ellis,-5,Jerry Clayton,Blackheath & Bromley,Centralia WA USA,1 Mar 14
45,53.28,Simon Bissell,7,Robert Halliwell,City of Sheffield,Spinkhill,13 Jul 14
46,53.24,Stuart Thurgood,16,,Herne Hill,Chelmsford,24 May 14
47,53.05,Jamie Potton-Burrell,-5,,Luton,Ware,17 May 14
48,52.98,John Hay,9,Gordon Binley,Corby,Corby,4 May 14
49,52.31,James Smith,-3,Robert Earle,Enfield & Haringey,Mile End,7 Jul 14
50,52.15,George Salter,-3,Lorraine Shaw,Stroud,Yeovil,14 Sep 14
51,51.94,Josh Abraham-Steele,5,,Luton,Abingdon,17 May 14
52,51.85,Jacob Lange,-4,Lorraine Shaw,Gloucester,Coventry,4 May 14
53,51.47,Matthew Evans,-1,Eric Davison,Worthing,Crystal Palace,15 Jun 14
54,51.22,Matthew Frampton,8,,Bournemouth,Bournemouth,9 Aug 14
55,51.11,Adam Reynolds,2,Ronnie Bomba,Liverpool H,Stretford,4 May 14
56,51.04,Jake Norris,-8,Paul Dickenson,Windsor Slough Eton & Hounslow,Eton,28 May 14
57,50.90,Mark Roberson,17,,Marshall Milton Keynes,Milton Keynes,10 Aug 14
58,50.85,Richard Bell,-1,Paul Jensen,Manx,Bebington,9 Aug 14
59,50.56,Gareth Cook,23,Tony Cook,Kingston & Poly,Derby,5 Jul 14
60,50.49,James Goss,19,Richard Turner,Enfield & Haringey,Lee Valley,19 Apr 14
61,50.44,Duncan Shaw,14,,"Blackpool, Wyre & Fylde",Chiba JPN,12 Apr 14
62,50.34,Thomas Fellowes,-4,Lorraine Shaw,Birchfield H,Rugby,6 Jul 14
63,49.96,Munroe Ritchie,-7,Karl Lasis,Crawley,Ashford,17 May 14
64,49.87,Anthony Gillatt,-4,Edel Meagher,Scunthorpe & District AC (Defunct),Wakefield,9 Aug 14
65,49.76,Bradley Cole,-2,Adrian Palmer,Swansea,Cardiff,21 May 14
65,49.76,David Little,11,,Glasgow City,Livingston,28 Jun 14
