Rank,Performance,Name,Year,Coach,Club,Venue,Date
Rank,Perf,Name,Year,Coach,Club,Venue,Date
1,54.86,Alfred Rushton,2,,City of Stoke,Telford,15 Jun 25
2,49.69,Osarode Oviawe,2,,Tonbridge,Birmingham,12 Jul 25
3,49.50,Stanley Trofimczuk,2,John Hillier,Cambridge H,Crawley,21 Jun 25
4,48.08,Logan Potter,2,David Callaway,Bournemouth,Portsmouth,29 Mar 25
5,46.77,Benjamin Compton,2,David Thomas,Blyth,Jarrow,18 Jun 25
6,46.58,Obinna Aniebo,2,,Cambridge H,Brighton,1 Jun 25
7,45.69,Roman Jackson,2,Jason Cameron,Swansea,Gloucester,3 May 25
8,45.66,Ethan Gordon,2,,Kilmarnock,Carlisle,19 Apr 25
8,45.66,Tristan Koyuncu,1,,Kingston upon Hull,Hull,11 May 25
10,44.78,Leon Pullen,2,,Thetford,Norwich,6 Jul 25
11,44.13,Jonah Causey,2,,Border,Carlisle,10 May 25
12,43.56,Joshua Fatusin,1,,Dartford H,Crystal Palace,7 Jun 25
13,43.34,Samuel Awobadejo,2,,Essex Schs,Chelmsford,14 Jun 25
14,41.58,Oscar Hook,2,Cheryl Angell,Team Kennet,Birmingham,12 Jul 25
15,40.89,Murray Robb,2,,Pitreavie,Linwood,4 May 25
16,40.54,Charlie Reilly,2,Brendan Reilly,Sheffield & Dearne,York,1 Jun 25
17,40.47,Jacob Pender,1,,Swindon,Swindon,14 Jun 25
18,40.09,Bevan Dove,1,Shirley Quinn,Chelmsford,Chelmsford,14 Jun 25
19,39.73,Andrew Persenarb,1,,Essex Schs,Chelmsford,14 Jun 25
20,39.62,Aleksander Dumara,2,,Hereford,Birmingham,12 Jul 25
21,39.41,Alexander Wurster Osuna,2,,St. Mary's Richmond,Chelmsford,5 Jul 25
22,38.95,Harry Muir,2,Jim Green,Kilbarchan,Linwood,24 May 25
23,38.83,Fabian Green,2,,Tipton,Stourport,3 May 25
24,38.70,Filip Noga,2,,Carmarthen,Aberdare,5 Jul 25
25,38.04,Chidera Asiegbu,2,,Essex Schs,Chelmsford,14 Jun 25
26,37.91,Ewan Dermody,1,David Callaway,Southampton,Winchester,16 Jul 25
27,37.47,Zeki Ruso,2,,Worthing,Brighton,4 Jul 25
28,37.20,Kian Traynor,2,Paul Cheal,Woodford Green Essex Ladies,Bromley,29 Jun 25
29,37.11,Oliver Dutton,2,,Greater Manchester Schs,Stretford,14 Jun 25
30,36.75,Johnny Jones,1,Michael Martin,Trafford,Preston,29 Jun 25
31,35.59,Jonny Evans,2,,Shaftesbury Barnet,Hemel Hempstead,7 Jun 25
32,35.41,Miles Lugo-Hankins,2,,Ipswich,Crystal Palace,7 Jun 25
33,35.16,Henry Longden,2,,Cheltenham,Yate,29 Jun 25
34,34.68,Leo Bamber,2,,St. Mary's Richmond,Crystal Palace,7 Jun 25
35,34.50,Alexandros Dimitroulakis,2,,Kilbarchan,Grangemouth,7 Jun 25
36,34.37,Elijah Turner,2,,SS Athletics,Ware,18 May 25
37,33.54,Zachary Brink,1,Lorraine Shaw,Gloucester,Gloucester,14 Jun 25
38,32.72,Arthur Roberts,2,,Cheltenham,Gloucester,16 Jul 25
39,32.45,Leonard Hewings,2,,London Heathside,Finsbury Park,1 Jun 25
40,32.41,Jack Holden,1,,Wirral,Preston,29 Jun 25
41,32.26,Dexter Barrett,2,,Rugby & Northampton,Rugby,12 Apr 25
42,32.20,Panagiotis Karletsos,2,,Winchester,Portsmouth,29 Jun 25
43,31.95,Evan Middlemiss,1,,Blackheath & Bromley,Tonbridge,1 Jun 25
44,31.02,Caden Evans Robertson,2,,Pembrokeshire,Aberdare,5 Jul 25
45,30.48,Aavash Bashyal,1,,Kent Schs,Gillingham,14 Jun 25
46,30.29,Rowan Durkin,2,,Dacorum,Eton,3 May 25
47,30.17,Jacob Dines,1,Michael McNeill,West Suffolk,Peterborough,6 Jul 25
48,29.90,Adam Edward Hayes,1,,Newark AC,Loughborough,9 Jul 25
