Rank,Performance,Name,Year,Coach,Club,Venue,Date
Rank,Perf,Name,Year,Coach,Club,Venue,Date
1,77.55,Nick Miller,-1,Tore Gustafsson,Border,Karlstad SWE,22 Jul 15
2,76.93,Mark Dry,6,Chris Black,Woodford Green Essex Ladies,Loughborough,17 May 15
3,74.66,Chris Bennett,4,Michael Jones,Shaftesbury Barnet,Loughborough,17 May 15
4,70.18,Chris Shorthouse,5,John Pearson,Birchfield H,Leiria POR,8 Aug 15
5,69.49,Andy Frost,12,Lorraine Shaw,Woodford Green Essex Ladies,Cork IRL,7 Jul 15
6,69.39,Taylor Campbell,-4,Paul Dickenson,Windsor Slough Eton & Hounslow,Bedford,4 May 15
7,69.22,Alex Smith,5,,Sale Harriers Manchester,Loughborough,17 May 15
8,68.98,Michael Bomba,7,Ronnie Bomba,Liverpool H,Leiria POR,9 Aug 15
9,67.88,Osian Jones,-1,Dennis Roscoe,Liverpool H,Loughborough,17 May 15
10,67.31,Callum Brown,-2,,City of Norwich,Colchester,25 Apr 15
11,66.57,James Bedford,5,Dave Smith,Birchfield H,Sportcity,13 Jun 15
12,66.45,Craig Murch,-1,Michael Jones,Rugby & Northampton,Loughborough,18 Jul 15
13,65.23,Michael Painter,-2,John Painter,City of Norwich,Bedford,4 May 15
14,64.43,Alex Warner,4,Paul Head,Newham & Essex Beagles,Lee Valley,14 Jun 15
15,63.99,Jonathan Edwards,1,John Edwards,City of Plymouth,Exeter,19 Jul 15
16,63.31,Nick Percy,-2,Vesteinn Hafsteinsson,Shaftesbury Barnet,East Lansing MI USA,17 May 15
17,63.25,Jac Palmer,-4,Adrian Palmer,Cardiff,Bedford,4 May 15
18,62.98,Matt Lasis,-1,Karl Lasis,Crawley,Crawley,9 May 15
19,62.90,Mike Floyd,17,Kevin Madden,Sale Harriers Manchester,Birmingham,26 Jul 15
20,61.91,Joseph Ellis,-4,Jerry Clayton,Blackheath & Bromley,Midland MI USA,11 Apr 15
21,61.87,Matthew Richards,7,Adrian Palmer,Cardiff,Yate,17 May 15
22,61.41,Tim Williams,1,John Pearson,Gloucester,Yate,25 Apr 15
23,61.27,Matthew Sutton,12,Steve Pearson,Wolverhampton & Bilston,Birmingham,14 Jun 15
24,60.85,Robert Moffett,-3,Gareth Moffett,Ballymena & Antrim,Belfast,11 Apr 15
25,60.72,Dave Smith,19,Robert Weir,Lincoln Wellington,Sheffield,8 Aug 15
26,59.65,Thomas Head,-4,Paul Head,Newham & Essex Beagles,Leiria POR,9 Aug 15
27,59.18,Ciaran Wright,-4,,Falkirk,Inverness,14 Jun 15
28,59.03,James Hamblin,-4,Robert Earle,Colchester H,Walton,4 Jul 15
29,58.23,Tom Parker,-2,Amir Williamson,Blackheath & Bromley,Bedford,4 May 15
30,58.09,Harry Clarke,-2,,Woodford Green Essex Ladies,Chelmsford,24 May 15
31,57.73,James Lasis,-3,Karl Lasis,Crawley,Bedford,2 Aug 15
