Rank,Performance,Name,Year,Coach,Club,Venue,Date
Rank,Perf,Name,Year,Coach,Club,Venue,Date
1,56.08,Jack Halpin,2,Alex Giles,Gateshead,Middlesbrough,2 Sep 18
2,50.40,Ben Ixer,2,Paul Head,Southend,Birmingham,13 Jul 18
3,50.22,Owen Merrett,2,Matt Spicer,Yate,Gloucester,9 Sep 18
4,47.87,Harry Ricketts,2,Bob Broadbridge,Swindon,Bedford,25 Aug 18
5,47.37,William Compton,2,Andrew Compton,Forest of Dean AC,Birmingham,13 Jul 18
6,46.55,George Harrison,2,Geoff Capes,Nene Valley,Braintree,12 Aug 18
7,46.54,Chibueze Ogbonna,2,,Southend,Birmingham,13 Jul 18
8,46.40,Matthew Heywood,2,Michael Hitchon,Blackburn,Wigan,16 Sep 18
9,46.11,Harry Blake,2,Clive Thomson,Medway & Maidstone,Bedford,25 Aug 18
10,46.04,Joe Adams,2,,Stevenage & North Herts,Hemel Hempstead,9 Jun 18
11,44.73,Kai Wright,2,,Woodford Green Essex Ladies,Lee Valley,8 Sep 18
12,44.63,James Viner,2,Matt Spicer,Yate,Birmingham,13 Jul 18
13,44.32,Damon King,2,Leonard Miller,Border,Liverpool,11 Aug 18
14,44.00,William Cubbage,2,Graham Arnold,City of Portsmouth,Horspath,1 Sep 18
15,43.81,Nathan Litchfield,2,Mick Shortland,Bedford & County,Sandy,29 Sep 18
16,42.58,Gabriel McFarlane,2,Andrew McFarlane,Ross County,Inverness,6 Jul 18
17,42.18,Jack England,2,,West Cheshire,Wrexham,29 Sep 18
18,41.91,Dylan Menhennet,1,Andrew Compton,Forest of Dean AC,Birmingham,13 Jul 18
19,41.32,Jack Sherwood,2,Paul Dickenson,Bracknell AC,Reading,2 Sep 18
20,40.01,Timothy Masters,1,,Bexley,Ashford,13 May 18
20,40.01,Matthew Burke,2,,Hereford & Worcester Schs,Birmingham,16 Jun 18
22,39.94,Luca Soave,2,Hilary Jones,Walton,Horspath,1 Sep 18
23,39.65,Jerome Sagomba,2,,Essex Schs,Chelmsford,9 Jun 18
24,38.83,Samuel Harris,2,,Essex Schs,Chelmsford,12 May 18
25,38.62,George Dunne,2,,Kent Schs,Ashford,13 May 18
26,38.61,Jay McCarthy,1,,Shettleston,Kilmarnock,13 May 18
27,38.59,Cameron Scott-Allan,1,,Liverpool H,Liverpool,11 Aug 18
28,38.12,Tyler Pattison,2,Graham Arnold,City of Portsmouth,Eton,21 Apr 18
29,37.55,Jake Knight,2,,Cardiff Archers,Bedford,8 Sep 18
30,36.47,Jamie Veale,2,,Somerset Schs,Exeter,16 Jun 18
31,36.35,Daniel Lathan,1,,Inverness,Aberdeen,19 Aug 18
32,36.20,Ewan Stokes,2,Brian Walsh,Middlesbrough (Mandale),Middlesborough,9 Jun 18
33,35.82,Leo Christian,2,,Southport Waterloo,Hyndburn,26 May 18
34,35.43,Angus Lallah,2,,Inverness,Livingston,8 Sep 18
35,35.25,Michael Crothers,2,,Methodist College Belfast,Antrim,18 May 18
36,35.17,Luke Woods,2,,Essex Schs,Chelmsford,9 Jun 18
37,34.97,Rhys Allen,2,David Callaway,Southampton,Hornchurch,21 Jul 18
38,34.94,James Lupton,2,Aidan Lupton,Preston,Bebington,21 Jul 18
39,34.91,Tyreece McLaughlin-Green,2,,Blackheath & Bromley,Bromley,19 May 18
40,34.85,Ashton Gradwick-Light,2,,Suffolk Schs,Norwich,16 Jun 18
41,34.02,Samuel Hatcher,2,,Chelmsford,Stevenage,2 Sep 18
42,33.87,Daniel Stonehouse,2,,Lewes,Crawley,26 Aug 18
43,33.72,George Staines,2,,Essex Schs,Chelmsford,9 Jun 18
44,33.63,Ayomide Johnson,1,,S Factor,Ashford,9 Jun 18
45,33.21,Jaeden Egbo,2,,Harrow,Wormwood Scrubs,17 Jun 18
46,32.63,Matt Vallance,2,,Northamptonshire Schs,Birmingham,16 Jun 18
47,32.52,David McGill,2,,Chelmsford,Braintree,8 Jul 18
48,32.49,Joshua Leonisio,2,,Bromsgrove & Redditch,Nuneaton,11 Aug 18
49,32.16,Luke Avda-McPherson,2,,Essex Schs,Chelmsford,12 May 18
50,31.81,Victor Jacoby,2,,Shaftesbury Barnet,Ipswich,2 Sep 18
51,31.56,Theo Bishop,2,,Preston,Bedford,8 Sep 18
52,31.49,Noah Wooding,1,Paul Head,Dartford H,Dartford,27 Aug 18
53,31.39,Louis Evans,2,,Basingstoke & Mid Hants,Aldershot,24 Jun 18
54,31.29,Billy White,1,,Cambridge & Coleridge,Peterborough,12 Aug 18
55,30.97,Andre Brown,2,,Blackheath & Bromley,Bedford,8 Sep 18
56,30.90,Luke Thompson,2,Leonard Miller,Border,Gateshead,16 Jun 18
57,30.52,Zack Grinsted,1,Geoff Capes,Luton,Hemel Hempstead,21 Jul 18
58,30.45,Joe Goodwin,2,,Wimborne,Bournemouth,9 Sep 18
59,30.39,Cameron Try,2,,Thetford,Norwich,12 May 18
60,30.10,James Isaacs,2,Neville Thompson,Dacorum,St. Albans,5 Aug 18
61,30.01,Christopher Williams,1,,Windsor Slough Eton & Hounslow,Reading,2 Sep 18
61,30.01,Finley Hanham,1,Bob Broadbridge,Reading AC,Derby,1 Dec 18
63,29.80,Levi Onipede,2,,Kent Schs,Ashford,13 May 18
64,29.75,Thomas Kimber,2,Vince Golding,Crawley,Tooting Bec,29 Sep 18
65,29.73,Darlington Huusfeldt,2,,Essex Schs,Chelmsford,9 Jun 18
66,29.72,Samuel Breese,2,Ken Goodger,Newport H,Brecon,25 Aug 18
67,29.68,Samual Bell,2,,Tynedale,Hexham,24 Jun 18
68,29.60,Daniel Hellewell,2,David Harmes,Scunthorpe & District AC (Defunct),Hull,12 May 18
69,29.40,Oliver Gregory,2,Cheryl Angell,Team Kennet,Abingdon,25 Mar 18
70,29.33,Alec Zaimovic,2,,Highgate,Hendon,22 Jul 18
71,29.24,Eliot Southwell,2,,Hillingdon,Aldershot,24 Jun 18
72,29.22,Anthony Oulai,2,,Kent Schs,Ashford,9 Jun 18
73,28.94,Lucas Naylor,1,Scott  Knighton,Amber Valley & Erewash,Ilkeston,22 Sep 18
74,28.90,David Rose,2,,Perth Strathtay,Aberdeen,19 Aug 18
75,28.88,Luke Finch,1,Chris Howe,Woodford Green Essex Ladies,Woodford,12 Jun 18
76,28.61,Lewis Forster,1,Simon Forster,Leigh,Wrexham,29 Sep 18
77,28.59,Barnaby Spear,2,,Blackheath & Bromley,Erith,5 Aug 18
78,28.53,Tom Whiteley,2,Joe Fallon,Wirral,Leeds (BP),21 Apr 18
79,28.46,Feargal Creagh,2,,Northern Ireland Schs,Antrim,18 May 18
79,28.46,Finlay Macdonald,2,Jamie Quarm,North Uist,Aberdeen,19 Aug 18
81,28.38,Samuel Simpson,2,,Hillingdon,Aldershot,24 Jun 18
82,28.28,Patrick Butler,2,,Essex Schs,Chelmsford,12 May 18
83,28.04,Sidney Taylor,2,,Bexley,Ashford,13 May 18
