Rank,Performance,Name,Year,Coach,Club,Venue,Date
Rank,Perf,Name,Year,Coach,Club,Venue,Date
1,57.65,Kai Barham,2,Paul Head,Dartford H,Lewes,12 Sep 20
2,48.81,Matthew Page,2,Matt Spicer,Yate,Yate,20 Sep 20
3,47.44,Jabez Berry,2,Malcolm Taylor,Halesowen,Nuneaton,20 Sep 20
4,46.30,Charlie Elford Pond,2,Martin McBriar,Winchester,Winchester,20 Sep 20
5,44.93,Alex Jackson,2,Sebastian Wadlow,Dacorum,Lee Valley,15 Aug 20
6,44.82,Finley Hanham,2,Bob Broadbridge,Reading AC,Reading,13 Sep 20
7,43.36,Callum Hendry,2,Jim Green,Victoria Park City of Glasgow,Meadowmill,30 Aug 20
8,43.03,Billy Dickinson,1,Bob Broadbridge,Swindon,Swindon,6 Sep 20
9,37.70,Wyatt Larkins,2,Robert Earle,Colchester H,Woodford,10 Oct 20
10,37.38,Maximilian Brookes,1,Lewis Capes,Diss,Norwich,12 Sep 20
11,35.76,Dante McNichol,2,Iain Presnell,Tonbridge,Milton Keynes,13 Sep 20
12,31.32,Jeremy Gundle,2,,Rugby & Northampton,Rugby,22 Aug 20
13,28.69,Adam Merrett,1,Matt Spicer,Yate,Tavistock,27 Sep 20
14,28.35,Daniel Ross,2,Catarina Hallden,Jersey,St. Clement,14 Jul 20
15,28.17,Declan McClelland,1,,Law,Meadowmill,30 Aug 20
16,28.05,Josh Robins,3,,Crawley,Lewes,4 Oct 20
17,26.42,Jamie Bennett,2,,Central Park,Dartford,12 Sep 20
18,25.82,Fynn Errington,2,Alex Giles,Birtley,Morpeth,23 Aug 20
19,24.65,Kyle Thorne,1,,City of Norwich,Norwich,12 Sep 20
20,24.13,Jake Dickie,2,,Aberdeen,Grangemouth,11 Jan 20
21,23.99,Lucca Bussetil,2,,Huntingdonshire,St. Ives,4 Aug 20
