Rank,Performance,Name,Year,Coach,Club,Venue,Date
Rank,Perf,Name,Year,Coach,Club,Venue,Date
1,74.74,Jabez Berry,3,Steve Pearson,Halesowen,Mannheim GER,28 Jun 25
2,68.96,Wyatt Larkins,2,Jamie Bath,Harrow,Cambridge,19 Jul 25
3,65.18,Louis Tutcher,2,Matt Spicer,Yate,Par,21 Sep 25
4,63.29,Charlie Elford Pond,3,Jake Norris,Winchester,Hendon,21 Jun 25
5,59.00,Adam Merrett,2,Matt Spicer,Yate,Halle GER,24 May 25
6,58.75,Ethan Kendrick,1,Matthew Sutton,Wolverhampton & Bilston,Telford,21 Sep 25
7,58.30,Joshua Reibbitt,1,John Little,Carlisle Aspatria,Carlisle,23 Aug 25
8,57.37,Sebastian Simpson,2,Jake Norris,Windsor Slough Eton & Hounslow,Eton,5 Apr 25
9,56.06,Logan Mitchell,3,Kevin Mitchell,Kilmarnock,Birmingham,27 Jul 25
10,55.46,James Campbell,1,Lee Doyle,Ipswich,Colchester,18 May 25
11,54.90,Alastair Brown,3,Greg Beard,Chelmsford,Hendon,6 Jul 25
12,51.82,Jack Burgess,1,Eric Davison,City of Portsmouth,Southampton,24 Aug 25
13,50.11,Joe Buscombe,1,,Southend,Chelmsford,10 May 25
14,49.51,Owen Fileman,1,Elaine Fileman,Tavistock,Birmingham,11 Jul 25
15,48.97,Billy Dickinson,2,Bob Broadbridge,Swindon,Gloucester,11 May 25
16,46.58,Maximilian Brookes,2,Mel Brookes,West Suffolk,Norwich,10 May 25
17,46.56,Sean Radabaugh,3,,Inverness,Inverness,29 Mar 25
18,46.29,Archie Kinneir,1,Bob Broadbridge,Swindon,Swindon,29 Mar 25
19,45.83,Oliver Taylor,1,,Lagan Valley,Belfast,17 May 25
20,45.45,Thomas Norkett,1,,Thetford,Norwich,13 Sep 25
21,45.20,Soham Das,1,,Reading AC,Basingstoke,15 Feb 25
22,43.83,Bryce Farmer-Beasley,2,,City of York,Sheffield,25 May 25
23,43.74,Aodhan Henry-Daire,1,,Reading AC,Chelmsford,28 Jun 25
24,43.57,Gabriel Barnard Seidel,1,,Brighton & Hove,Horspath,13 Sep 25
25,43.24,Max Thorne,2,,Medway & Maidstone,Ashford,10 May 25
26,42.27,Ben Fenwick,2,Matthew Richards,Swansea,Swansea,6 Jul 25
27,42.16,Alexander Wilkinson,1,,Jersey,St. Clement,6 Sep 25
28,42.09,Dun Xue,1,David McKay,West Cheshire,Wrexham,28 Sep 25
29,41.85,Buddy Reid,1,Thomas Head,Epsom & Ewell,Kingston,5 Oct 25
30,40.91,Toby Carroll,2,,Huntingdonshire,St. Ives,15 Jun 25
31,40.13,William Lacey,2,Jessica Arnison,Leigh,Leigh,20 Apr 25
32,39.54,George Williams,3,,Blackburn,Blackburn,27 Apr 25
33,39.53,Edward Turner,1,,Stevenage & North Herts,Horspath,13 Sep 25
34,38.30,Jake Sands,1,,Warrington AC,Ellesmere Port,14 Jun 25
35,36.05,Ben Hamilton Carter,2,,SS Athletics,Hornchurch,14 Sep 25
36,35.95,William Sycamore,2,,Southend,Southend,13 Apr 25
37,33.99,Cieran Lomax,3,,Tipton,Stoke,11 May 25
38,33.97,Archie Vinnicombe,2,,Walton,Kingston,10 May 25
39,31.65,Charlie Climpson,1,Dave Brown,Liverpool Pembroke Sefton,Wrexham,28 Sep 25
40,31.24,Thomas Wassermann,2,,London Heathside,Kingston,25 May 25
41,31.05,Sonny McCabe,1,,Cardiff,Aberdare,5 Jul 25
42,30.05,Ben Evans,2,,Rhondda,Swansea,14 Jun 25
43,29.41,Kacper Dumara,2,,Hereford,Yate,27 Apr 25
44,28.22,Jacob Burbridge,1,,Lincoln Wellington,Peterborough,30 Mar 25
45,27.80,Harry Greta,1,,Deeside AAC,Stretford,6 Jul 25
46,26.94,Harvey Wilkinson,1,John Moreland,City of York,York,21 Apr 25
47,26.86,Moses Odigbo,2,,Cambridge H,Gillingham,6 Jul 25
48,25.75,Rhys Owen,1,,Rugby & Northampton,Milton Keynes,6 Jul 25
49,25.36,Harrison Carter,2,Richard Howes,Pontefract,Sheffield,6 Sep 25
,65.30,Thomas Williams,1,,Wrexham,Tullamore IRL,5 Jul 25
