Rank,Performance,Name,Year,Coach,Club,Venue,Date
Rank,Perf,Name,Year,Coach,Club,Venue,Date
1,72.95,Alex Smith,-1,,Sale Harriers Manchester,Delhi IND,8 Oct 10
2,71.88,Mark Dry,1,Chris Black,Woodford Green Essex Ladies,Gothenburg SWE,13 May 10
3,71.70,Matt Lambley,1,Mike Morley,City of Sheffield,Loughborough,23 May 10
4,70.93,Andy Frost,7,Chris Black,Woodford Green Essex Ladies,Grangemouth,29 May 10
5,70.45,Mike Floyd,12,Kevin Madden,Sale Harriers Manchester,Bedford,15 Aug 10
6,70.36,Michael Jones,25,Alan Bertram,Belgrave,Hendon,5 Jun 10
7,69.92,Peter Smith,-3,Dave Smith,Birchfield H,Bedford,20 Jun 10
8,69.72,Amir Williamson,1,Paul Head,Newham & Essex Beagles,Crystal Palace,13 Jun 10
9,69.17,James Bedford,-1,Dave Smith,Birchfield H,Hull,4 Sep 10
10,67.62,Simon Bown,14,Robert Earle,Newham & Essex Beagles,Crystal Palace,13 Jun 10
11,67.08,Michael Bomba,2,Ronnie Bomba,Liverpool H,Wrexham,14 Aug 10
12,66.07,Samuel Coe,-2,Paul Dickenson,City of Norwich,Hendon,8 Aug 10
13,65.71,Chris Shorthouse,-1,John Pearson,Notts,Loughborough,1 May 10
14,63.53,Chris Bennett,-2,Alan Bertram,Shaftesbury Barnet,Eton,31 Jul 10
15,63.23,Matthew Bell,10,,Birchfield H,Birmingham,13 Jun 10
16,62.07,Alistair Williamson,-1,Paul Head,Met Police,Hendon,8 Aug 10
17,61.79,Alex Warner,-2,Lorraine Shaw,Windsor Slough Eton & Hounslow,Birmingham,17 Apr 10
18,61.36,Matthew Richards,2,Paul Jensen,Belgrave,Cardiff,29 Aug 10
19,61.05,Joe Bloomfield,-3,John Pearson,Ipswich,Colchester,30 Aug 10
20,60.92,Justin Sysum,3,Lorraine Shaw,Gloucester,Birmingham,13 Jun 10
21,60.34,John Pearson,22,,Charnwood,Loughborough,1 May 10
22,60.18,Andrew Jordon,-4,,Blackheath & Bromley,Loughborough,23 May 10
23,59.29,Roger Bate,5,,Trafford,Liverpool,18 Sep 10
24,58.04,Matthew Sutton,7,Lorraine Shaw,Birchfield H,Stoke,3 Jul 10
25,57.95,Glen Kerr,14,,Bedford & County,Bedford,31 May 10
26,57.70,Steve Whyte,24,,Thames Valley,Bedford,9 May 10
27,57.66,Wayne Powell,17,Lorraine Shaw,Gloucester,Yate,5 Sep 10
28,56.74,David Little,7,,Glasgow City,East Kilbride,25 Aug 10
29,56.56,Simon Bissell,3,Robert Halliwell,City of Sheffield,Blackpool,14 Mar 10
30,56.11,Carl Saggers,5,,Enfield & Haringey,Birmingham,3 Jul 10
31,56.09,Graeme Level,-1,Neil Ellerby,Gateshead,Jarrow,28 Jul 10
32,55.52,Graham Holder,16,,Shaftesbury Barnet,Woodford,19 Jun 10
33,55.30,Robert Earle,28,,Colchester H,Hendon,5 Jun 10
34,55.24,William Lowndes,2,,Liverpool H,Liverpool,17 Apr 10
35,54.84,Shane Peacock,25,,Birchfield H,Hull,17 Jan 10
36,54.61,Jay Hill,-4,Laurence Garnham,Enfield & Haringey,Lee Valley,26 Jun 10
37,54.57,Iain Park,14,,Harrow,Wormwood Scrubs,21 Aug 10
38,54.18,Tim Williams,-5,Lorraine Shaw,Gloucester,Coventry,1 May 10
39,54.10,Stephen Minnikin,16,,Doncaster,Cleckheaton,14 Jul 10
40,53.85,Micki Finn,1,,Windsor Slough Eton & Hounslow,Bedford,31 May 10
41,53.81,Ritchie Wells,-2,Lorraine Shaw,Swansea,Yeovil,3 Jul 10
42,52.98,Phil Spivey,27,,East Grinstead,Crawley,30 Aug 10
43,52.10,Adam Beauford,7,,Yeovil,Yeovil,3 Jul 10
44,52.09,Alex Berrow,-2,,Tamworth,Bedford,20 Jun 10
45,51.93,Gareth Cook,19,Tony Cook,Kingston & Poly,Kingston,8 May 10
46,51.81,Leslie McIntosh,7,,Liverpool H,Liverpool,5 Jun 10
47,51.16,Andrew Smith,4,,Gateshead,Leeds,1 May 10
48,50.96,Peter Clarke,-4,Ron Bowden,Woodford Green Essex Ladies,Eton,31 Jul 10
49,50.84,Adam Reynolds,-3,Ronnie Bomba,Liverpool H,Birmingham,24 Jul 10
50,50.69,Jamie Earle,1,Robert Earle,Colchester H,Colchester,26 Jun 10
51,50.52,Mark Wiseman,19,,Belgrave,Ewell,29 May 10
52,50.44,Jonathan Edwards,-5,John Edwards,Huntingdonshire,Chelmsford,11 Sep 10
53,50.01,Sam Ridgway,-5,Jack Kee,Marshall Milton Keynes,Bexley,15 May 10
54,49.86,Nick Miller,-6,Leonard Miller,Border,Carlisle,1 May 10
55,49.83,Joe Gibson,3,,Scunthorpe & District AC (Defunct),Hull,5 Jun 10
56,49.44,Scot Thompson,7,,Sale Harriers Manchester,Aberdeen,19 Aug 10
57,49.24,Richard Martin,4,,Spenborough,Cleckheaton,28 Mar 10
58,48.92,Jon Milum,23,,Exeter,Swansea,21 Aug 10
59,48.85,Harry Wells,-6,,Nene Valley,Peterborough,31 Jul 10
60,48.84,Dave Smith,26,,Kingston upon Hull,Hull,17 Jan 10
61,48.67,Adam Davies,-5,Elizabeth Rowland,Sale Harriers Manchester,Blackburn,5 Jun 10
62,48.60,Wayne Roddis-Clarke,13,,Boston,Grantham,9 May 10
63,48.58,Nathan Harland-Smith,-2,Karl Lasis,Crawley,Wormwood Scrubs,21 Aug 10
64,48.55,Simon Achurch,14,,Nene Valley,St. Ives,8 May 10
65,48.45,Morgan Bell,-2,,Trafford,Bedford,20 Jun 10
66,48.27,Callum Brown,-7,John Painter,City of Norwich,Norwich,15 May 10
67,48.19,Jason Robinson,-2,John Pearson,Chesterfield,Cudworth,31 Jul 10
68,48.12,David Burrell,24,,Luton,Norwich,15 May 10
69,48.03,Matt Lasis,-6,Karl Lasis,Crawley,Kingston,3 Jul 10
70,48.01,Kyle Randalls,-4,,Falkirk,Wishaw,16 May 10
71,48.00,Richard Al-Ameen,-3,,Blackheath & Bromley,Kingston,17 Apr 10
72,47.72,Luke Hyland,1,,Rugby & Northampton,Loughborough,12 May 10
73,47.62,Alan James,26,,Windsor Slough Eton & Hounslow,Parliament Hill,10 Jul 10
74,47.53,Andrew Windley,-2,,Stroud,Hendon,8 Aug 10
75,47.50,Tom Dempsey,5,,Halesowen,Worcester,8 May 10
76,47.40,Nigel Winchcombe,29,,Notts,Derby,6 Jun 10
77,47.39,Paul Derrien,17,,St. Mary's Richmond,Cambridge,10 Jul 10
78,47.27,Mark Gulliver,16,,Leeds City,Cleckheaton,19 Sep 10
79,47.25,Brett Marsh,12,,Newquay & Par,Plymouth,15 May 10
80,47.16,Robert Mungham,4,Mark Wiseman,Bracknell AC,Bracknell,5 Jun 10
81,47.11,Malcolm Fenton,32,,Ipswich,Ipswich,9 May 10
82,46.98,Rob Careless,14,,Notts,Birmingham,6 Jun 10
83,46.97,Michael Tommey,-3,Lorraine Shaw,Gloucester,Cheltenham,7 May 10
84,46.76,Jake Haylock,-5,Michael Davies,Blackheath & Bromley,Bromley,31 Jul 10
85,46.65,Ashley Andrews,-5,Lorraine Shaw,Forest of Dean AC,Cardiff,12 Jun 10
86,46.37,David McKay,8,,West Cheshire,Ellesmere Port,1 May 10
87,46.36,Dan Brunsden,-1,,Kent,Bournemouth,28 Mar 10
88,46.24,Tom Pearson,-4,,Charnwood,Birmingham,6 Jun 10
89,45.99,Russell Payne,28,,Birchfield H,Leicester,13 Jun 10
90,45.98,Ashley Ralph,-4,Garry Power,St. Albans AC,Watford,1 May 10
91,45.94,Luke Shortman,1,,Cambridge & Coleridge,Stevenage,15 May 10
92,45.87,Sam Chappell,-2,,Kent,Bournemouth,28 Mar 10
93,45.76,Mark White,-6,Thomas Grierson,Windsor Slough Eton & Hounslow,Parliament Hill,10 Jul 10
94,45.58,Bradley Reece,-4,,Havering,Hendon,5 Jun 10
95,44.89,Scott McKevitt,1,,Peterborough,St. Ives,8 May 10
96,44.70,Sam Foster,-6,Gordon Binley,Corby,Corby,6 Jun 10
97,44.69,Craig Murch,-6,Gary Herrington,Rugby & Northampton,Tipton,1 Aug 10
98,44.61,Andy Dawkins,14,,Royal Navy,Cosford,7 Jul 10
99,44.51,Owen Thomas,7,,Rotherham,Hull,5 Jun 10
100,44.37,Richard Gayle,21,,Wakefield,Don Valley,8 May 10
101,44.33,Michael Madden,23,,Newquay & Par,Portsmouth (RN),10 Jul 10
102,44.29,Michael Lee,10,,Menai,Wrexham,8 May 10
103,44.27,Ryan Redman,-6,,Tonbridge,Worthing,5 Jun 10
104,44.24,Gavin Cook,18,,Thames Valley,Walton,10 Jul 10
105,44.14,Josh Day,-2,,Hereford,Burton,6 Jun 10
106,43.88,Matthew Evans,-5,Eric Davison,Worthing,Lewes,15 May 10
107,43.74,Ross McManus,-6,,Edinburgh AC,Dunfermline,18 Jul 10
108,43.70,Nick Fogg,10,,Owls Leicester,Sutton,1 Aug 10
109,43.62,Gary Jennings,16,,Banbury,Telford,1 May 10
110,43.54,Darren Kerr,19,,Bedford & County,Lee Valley,28 Mar 10
111,43.33,Martin Roberts,28,,Cannock & Stafford,Cannock,3 Jul 10
112,43.29,Billy Morley-Williams,1,,North Devon,Braunton,26 Jun 10
113,43.23,Chad Rhodes,-6,,Tipton,Banbury,6 Jun 10
114,43.20,Andrew Turner,25,Paul Rees,Bournemouth,Exeter,20 Jun 10
115,43.06,Wesley Clarke,25,,Ilford,Newham,1 May 10
116,42.97,Rob C Smith,1,Tony Cook,Walton,Walton,10 Jul 10
117,42.96,Mark Roberson,13,,Marshall Milton Keynes,Luton,31 Jul 10
118,42.89,Andrew Lee,6,,Cambridge & Coleridge,Swindon,5 Jun 10
119,42.78,Tom Harrington,9,,Met Police,Newham,1 May 10
119,42.78,Gregg Nixon,3,,City of Stoke,Nottingham,1 Aug 10
121,42.77,Sean Band,-3,,Peterborough,Bury St. Edmunds,19 Sep 10
122,42.75,Ben Daley,-5,Brian Walsh,Middlesbrough (Mandale),Middlesbrough,31 Jul 10
123,42.73,Michael Rigby,-2,,Oldham & Royton,Stretford,18 May 10
124,42.71,Ryan McDowall,-6,,Border,York,31 Jul 10
125,42.70,Richard Woodhall,8,,Dudley & Stourbridge,Kettering,1 May 10
126,42.69,Chris Privett,28,,Belgrave,Kingston,8 May 10
126,42.69,Neil Mansbridge,9,,Crawley,Wormwood Scrubs,21 Aug 10
128,42.68,Robert Duke,-6,Eric Davison,Worthing,Carshalton,15 May 10
