Rank,Performance,Name,Year,Coach,Club,Venue,Date
Rank,Perf,Name,Year,Coach,Club,Venue,Date
1,71.53,Sophie Hitchon,1,Tore Gustafsson,Blackburn,Halle GER,17 May 14
2,66.85,Shaunagh Brown,2,John Hillier,Blackheath & Bromley,Gothenburg SWE,14 Jun 14
3,66.80,Carys Parry,11,Adrian Palmer,Rhondda,Cardiff,15 Jul 14
4,66.30,Rachel Hunter,-2,,Shaftesbury Barnet,Loughborough,18 May 14
5,65.67,Sarah Holt,5,John Pearson,Sale Harriers Manchester,Hampden Park,28 Jul 14
6,64.21,Susan McKelvie,7,Lorraine Shaw,Edinburgh AC,Kilmarnock,16 Aug 14
7,63.11,Myra Perkins,-1,John Pearson,Falkirk,Loughborough,18 May 14
8,62.30,Louisa James,-3,John Hillier,Shaftesbury Barnet,Birmingham,29 Jun 14
9,61.77,Kimberley Reed,-4,Scott Reed,Edinburgh AC,Bedford,3 May 14
10,61.69,Christina Jones,2,Lorraine Shaw,Bristol & West,Yate,7 Jun 14
11,60.00,Laura Douglas,9,Kevin Madden,Sale Harriers Manchester,Cardiff,31 May 14
12,58.23,Hayley Murray,3,Zoe Derham,Birchfield H,Loughborough,18 May 14
13,57.90,Rachel Wilcockson,6,Paul Gair,Trafford,Derby,25 May 14
14,56.54,Jessica Mayho,-2,Michael Morley,Birchfield H,Stretford,10 Jun 14
15,56.23,Stephanie Hendy,1,John Pearson,Trafford,Loughborough,18 May 14
16,56.20,Lucy Marshall,11,Gary Herrington,Woodford Green Essex Ladies,Derby,8 Jun 14
17,55.88,Rebecca Keating,-6,Paul Dickenson,Shaftesbury Barnet,Hendon,30 Aug 14
18,55.79,Hannah Evenden,1,Paul Evenden,Edinburgh AC,Cleckheaton,31 Aug 14
19,55.10,Annabelle Crossdale,-3,Barry Hawksworth,Notts,Bedford,22 Jun 14
20,54.90,Toni Wells,-2,Adrian Palmer,Swansea,Bedford,3 May 14
21,54.67,Kayleigh Presswell,-4,Jack Kee,Marshall Milton Keynes,Cardiff,15 Jul 14
22,54.40,Sara Bobash,-3,John Pearson,Birchfield H,Rugby,6 Jul 14
23,54.18,Emily Campbell,-3,Michael Swain,Notts,Bedford,3 May 14
23,54.18,Pippa Wingate,-2,Gareth Cook,Kingston & Poly,Battersea Park,21 Jun 14
25,52.46,Mhairi Porterfield,11,Colin McCulloch,Victoria Park City of Glasgow,Edinburgh,13 Jul 14
26,51.52,Andrea Jenkins,17,,Nene Valley,Colchester,22 Jun 14
27,51.03,Jenna Wheatman,8,Paul Evenden,Wakefield,Cudworth,17 May 14
28,50.92,Jenna Galiszewski,2,Barry Hawksworth,Derby,Doncaster,6 Sep 14
29,50.88,Chiara Collins,7,,Sale Harriers Manchester,Turnhout BEL,10 Aug 14
30,50.56,Zoe Dakin,-4,Paul Jensen,Swansea,Bedford,21 Jun 14
31,50.54,Charlotte Gould,-5,Paul Dickenson,Windsor Slough Eton & Hounslow,Hendon,30 Aug 14
32,50.26,Katy Wilson,4,,Birtley,Oldham,4 May 14
33,50.14,Helen Broadbridge,-1,Bob Broadbridge,Newbury,Oxford,17 May 14
34,49.94,Amy Phillips,-7,Paul Dickenson,Reading AC,Eton,28 Sep 14
35,49.62,Louise Webster,7,Steve Pearson,Wolverhampton & Bilston,Rugby,6 Jul 14
36,49.16,Beth Mitchell,-1,,Sutton-in-Ashfield,Derby,25 May 14
37,47.83,Emma Bowie,-5,Margery Swinton,Edinburgh AC,Inverness,3 Jun 14
38,47.66,Amber Simpson,-8,John Parkin,Deeside AAC,Stockport,7 Sep 14
39,47.18,Georgina Howe,-2,Gary Howe,Ipswich,Oxford,17 May 14
40,47.10,Maria Brett,-4,,Newquay & Par,Hendon,3 Aug 14
41,46.80,Amy Clarke,6,Raymond Scovell,Isle of Wight,Portsmouth,13 Sep 14
42,46.77,Katie Lambert,-7,Steve Pearson,Kidderminster & Stourport,Leamington,4 May 14
42,46.77,Laura Duke,3,,Worthing,Crawley,25 May 14
44,46.60,Phoebe Dowson,-3,William Bushnell,Bournemouth,Bournemouth,2 Aug 14
45,46.49,Megan Rushmore,-5,Gary Howe,West Norfolk,Norwich,27 Apr 14
46,46.34,Charlotte Stallard,-4,Lorraine Shaw,Gloucester,Cheltenham,2 Aug 14
47,46.25,Maggie Okul,-6,Dave Smith,Kingston upon Hull,Sportcity,15 Jun 14
48,46.17,Philippa Davenall,-7,Robert Earle,Colchester H,Colchester,22 Jun 14
49,45.81,Suzanna Wise,4,Graham Arnold,,Portsmouth,25 May 14
50,45.80,Emma Beardmore,5,Jack Kee,Marshall Milton Keynes,Cambridge,29 Mar 14
51,45.45,Carla Letheby,-2,Terry Letheby,Walton,Kingston,25 May 14
52,45.31,Ashleigh Power,-6,Dennis Elkins,Poole AC,Winchester,27 Jul 14
53,45.21,Aislinn Baird,1,Kevin O'Hara,Radley,Bromley,2 Aug 14
54,44.70,Holly Rodgers,-6,,Rotherham,Spinkhill,27 Apr 14
55,44.69,Leah Weatheritt,18,,Gateshead,Cleckheaton,13 Jul 14
56,44.63,Donna Kent,2,Shaun Medlen,Bexley,Dartford,17 May 14
57,44.48,Jenny Richards,-2,,Cambridge & Coleridge,Cambridge,26 Jul 14
58,44.38,Carys Smith,-6,Paul Jensen,Swansea,Cardiff,5 Jul 14
59,44.32,Anna Robertson,3,Lorraine Shaw,Gloucester,Cheltenham,2 Aug 14
60,44.28,Rachel Hicks,6,David Walker,Belgrave,Crawley,2 Aug 14
61,43.86,Claire Lebond,1,Stephen Lebond,Rotherham,Stretford,10 Jun 14
62,43.58,Sarah-Jane Anthony,-3,Paul Dickenson,"Aldershot, Farnham & District",Aldershot,12 Jul 14
63,43.52,Rebecca Baines,-2,Karl Lasis,Crawley,Kingston,21 Jun 14
64,43.38,Ellie Chandler,-7,Paul Dickenson,Harrow,Harrow,17 May 14
65,43.33,Hannah Morgan,-6,,Newport H,Cheltenham,2 Aug 14
66,43.00,Rosalind Stansbury,18,,City of Portsmouth,Portsmouth,25 May 14
67,42.97,Sadie Watts,2,,Marshall Milton Keynes,Newham,8 Jun 14
68,42.77,Beth Sewell D,10,Lorraine Shaw,Cardiff,Yeovil,14 Sep 14
69,42.73,Sophie Mace,-7,,Walton,Bromley,2 Aug 14
70,42.70,Natalie Robbins,-7,,Edinburgh AC,Livingston,12 Apr 14
71,42.32,Chloe Cockell,-4,Robert Earle,Braintree,Braintree,17 May 14
72,42.28,Anna Hopcroft,9,,Lewes,Lewes,21 Jun 14
73,42.24,Chloe Needham,-4,Michael Hitchon,"Blackpool, Wyre & Fylde",Hyndburn,9 Aug 14
74,42.23,Lisa McAlpine,-2,Colin McCulloch,Pitreavie,Dunfermline,23 May 14
75,42.12,Ellie Greenwood,-5,John Simpson,Halifax,Cleckheaton,14 Jun 14
76,42.11,Lynsey Glover,5,,Lagan Valley,Belfast,28 Aug 14
