Rank,Performance,Name,Year,Coach,Club,Venue,Date
Rank,Perf,Name,Year,Coach,Club,Venue,Date
1,74.54,Sophie Hitchon,3,Tore Gustafsson,Blackburn,Rio de Janeiro BRA,15 Aug 16
2,67.13,Sarah Holt,7,John Pearson,Sale Harriers Manchester,Halle GER,21 May 16
3,65.13,Rachel Hunter,1,Henry Hunter,Shaftesbury Barnet,Loughborough,16 Jul 16
4,64.74,Carys Parry,13,Adrian Palmer,Rhondda,Cardiff,11 Jun 16
5,62.91,Christina Jones,4,,Bristol & West,Loughborough,22 May 16
6,62.77,Susan McKelvie,9,Lorraine Shaw,Edinburgh AC,Scotstoun,12 Jun 16
7,62.29,Louisa James,-1,John Hillier,Hastings AC,Hastings,20 Aug 16
8,62.12,Lucy Marshall,13,Gary Herrington,Woodford Green Essex Ladies,Woodford,9 Jul 16
9,61.02,Jessica Mayho,1,,Birchfield H,Loughborough,17 Apr 16
10,60.97,Myra Perkins,2,John Pearson,Falkirk,Budapest HUN,18 Jun 16
11,59.14,Pippa Wingate,1,Gareth Cook,Kingston & Poly,Kingston,18 Jun 16
12,58.94,Annabelle Crossdale,-1,Barry Hawksworth,Notts,Derby,11 Sep 16
13,58.34,Rebecca Keating,-4,Paul Dickenson,Shaftesbury Barnet,Hendon,26 Jun 16
14,57.30,Hayley Murray,5,Christopher Murray,Rugby & Northampton,Belfast,19 Jun 16
15,57.20,Abbi Carter,1,Dave Smith,Kingston upon Hull,Hull,14 May 16
16,57.09,Kayleigh Presswell,-2,Jack Kee,Marshall Milton Keynes,Lee Valley,11 Jun 16
17,56.88,Shaunagh Brown,4,John Hillier,Blackheath & Bromley,Bromley,20 Aug 16
18,56.73,Katie Lambert,-5,Steve Pearson,Kidderminster & Stourport,Loughborough,17 Apr 16
19,56.40,Sara Bobash,-1,John Pearson,Birchfield H,Yate,8 May 16
20,55.40,Amy Phillips,-5,Paul Dickenson,Windsor Slough Eton & Hounslow,Lee Valley,12 Jun 16
21,55.32,Maggie Okul,-4,Dave Smith,Kingston upon Hull,Hull,14 May 16
22,55.29,Hannah Evenden,3,Paul Evenden,Edinburgh AC,Swansea,4 Jun 16
23,54.86,Philippa Davenall,-5,Robert Earle,Colchester H,Bedford,18 Jun 16
24,53.37,Alice Barnsdale,-6,Dave Smith,Lincoln Wellington,Gateshead,9 Jul 16
25,52.76,Mhairi Porterfield,13,Colin McCulloch,Victoria Park City of Glasgow,Livingston,23 Jul 16
26,52.57,Holly Rodgers,-4,,Rotherham,Loughborough,17 Apr 16
27,52.09,Olivia Stevenson,-6,Dave Smith,Kingston upon Hull,Sportcity,12 Jun 16
28,52.07,Amber Simpson,-6,John Parkin,Deeside AAC,Connah's Quay,24 Jul 16
29,51.47,Emily Campbell,-1,Michael Swain,Notts,Lee Valley,2 Jul 16
30,51.39,Helen Broadbridge,2,Bob Broadbridge,Newbury,Lee Valley,11 Jun 16
31,50.47,Tara Simpson-Sullivan,-7,John Little,Carlisle Aspatria,Middlesbrough,8 May 16
32,50.24,Jenna Galiszewski,4,Barry Hawksworth,Derby,Doncaster,7 May 16
33,50.10,Andrea Jenkins,19,,Nene Valley,Wormwood Scrubs,18 Jun 16
34,49.68,Zoe Dakin,-2,Paul Jensen,Swansea,Swansea,25 May 16
35,49.44,Stephanie Fowler,-6,Douglas Cameron,Edinburgh AC,Grangemouth,14 Aug 16
36,49.37,Molly Walsh,-7,Steve Pearson,Wolverhampton & Bilston,Stoke,7 Aug 16
37,49.19,Emma Beardmore,7,Jack Kee,Marshall Milton Keynes,Horspath,15 May 16
38,49.14,Natalie Robbins,-5,Susan McKelvie,Edinburgh AC,Hendon,6 Aug 16
39,49.10,Hannah Morgan,-4,,Newport H,Newport,24 Jul 16
40,48.82,Jade Williams,-8,,Wrexham,Dublin (S) IRL,8 Jun 16
41,48.72,Emma Bowie,-3,,Elgin,Inverness,4 Sep 16
42,48.67,Charlotte Stallard,-2,Lorraine Shaw,Gloucester,Gloucester,14 May 16
43,48.30,Ellie Chandler,-5,Paul Dickenson,Windsor Slough Eton & Hounslow,Eton,24 Jul 16
44,48.11,Jenna Wheatman,10,Paul Evenden,Wakefield,Wakefield,7 May 16
45,47.58,Lana Fulcher,-6,Malcolm Fenton,Ipswich,Bury St. Edmunds,22 Oct 16
46,47.44,Victoria Wiltshire,-6,Michael Davies,Blackheath & Bromley,Bromley,16 Apr 16
47,47.28,Ellie White,-6,Dennis Elkins,Wimborne,Bournemouth,15 May 16
48,47.08,Danielle Broom,-6,Paul Rees,Bournemouth,Poole,16 Apr 16
49,46.76,Rebecca Orrell,-4,Michael Hitchon,Blackburn,Blackpool,19 Mar 16
50,46.62,Gemma Vickery,-3,,City of Norwich,Chelmsford,22 May 16
50,46.62,Stephanie Howe,-6,,Woodford Green Essex Ladies,Woodford,20 Aug 16
52,46.36,Emily Pearce,-6,,Rhondda,Brecon,27 Aug 16
53,46.13,Candy Lockett,-6,Mark Andrew Hill,Birchfield H,Milton Keynes,18 Sep 16
54,46.10,Ellen Thrall,-5,Lorraine Shaw,Gloucester,Swansea,29 May 16
55,45.90,Lynette McKeown,17,,Kidderminster & Stourport,Birmingham,17 Sep 16
56,45.82,Lucy Knott,-2,Samantha Brewer,Thames Valley,Brunswick ME USA,22 Apr 16
57,45.56,Laura Duke,5,,Crawley,Brighton,15 May 16
57,45.56,Maggie Donnelly,4,,City of Derry,Dublin (S) IRL,12 Jun 16
59,45.51,Sophie Mace,-5,Mark Wiseman,Walton,Dartford,16 Apr 16
60,45.42,Beth Mitchell,2,,Sutton-in-Ashfield,Brierley Hill,4 Jun 16
61,45.38,Maria Brett,-2,,Newquay & Par,Oxford,7 May 16
62,45.14,Caitlin Price,-5,Ronnie Bomba,Liverpool H,Bebington,14 May 16
63,44.99,Carys Smith,-4,Paul Jensen,Swansea,Gloucester,26 Jun 16
64,44.93,Lauren Hill,-7,Mark Andrew Hill,Chesterfield,Derby,5 Jun 16
65,44.72,Sophie Jackson,-4,,Rhondda,Newport,14 Aug 16
66,44.70,Heather Fawcett,-7,,Kilbarchan,Aberdeen,8 May 16
67,44.64,Kathryn Woodcock,-4,Kevin O'Hara,Radley,Chelmsford,5 Jun 16
68,44.63,Phoebe Dowson,-1,William Bushnell,Bournemouth,Southampton,3 Jul 16
69,44.38,Chrissie Prince,-5,Graham Felton,Royal Sutton Coldfield,Stourport,24 Jul 16
70,44.33,Amy Clarke,8,Raymond Scovell,Isle of Wight,Portsmouth,14 May 16
