Rank,Performance,Name,Year,Coach,Club,Venue,Date
Rank,Perf,Name,Year,Coach,Club,Venue,Date
1,78.74,Taylor Campbell,3,Paul Dickenson,Windsor Slough Eton & Hounslow,Bedford,20 Jun 15
2,70.88,Jac Palmer,3,Adrian Palmer,Cardiff,Yate,18 Apr 15
3,68.05,Thomas Head,3,Paul Head,Newham & Essex Beagles,Loughborough,17 May 15
4,67.61,Joseph Ellis,3,Jerry Clayton,Blackheath & Bromley,Toledo OH USA,7 May 15
5,66.35,James Hamblin,3,Robert Earle,Colchester H,Lee Valley,13 Jun 15
6,64.60,Ciaran Wright,2,,Falkirk,Grangemouth,22 May 15
7,63.79,Jamie Potton-Burrell,3,,Luton,Aldershot,28 Jun 15
8,61.59,Jake Norris,1,Paul Dickenson,Windsor Slough Eton & Hounslow,Woodford,11 Oct 15
9,60.59,Ross Douglas,3,Jim Edwards,Charnwood,Derby,13 Sep 15
10,59.72,Jamie Kuehnel,2,Bob Broadbridge,Newbury,Swindon,17 Oct 15
11,59.54,Munroe Ritchie,1,Karl Lasis,Crawley,Gateshead,10 Jul 15
12,58.43,Ben Main,2,Lorraine Shaw,Shettleston,Grangemouth,23 Aug 15
13,58.32,Edward Jeans,1,Bob Welfare,Preston,Woodford,10 Oct 15
14,57.92,George Marvell,1,Paul Dickenson,Stevenage & North Herts,Woodford,11 Oct 15
15,57.09,Leslie Parkes,2,Graham Arnold,Havant,Winchester,28 Jun 15
16,56.48,Nathan Thomason,1,John Parkin,Colwyn Bay,Newport,15 Aug 15
17,56.35,Francis Mulvaney,3,Dennis Roscoe,Liverpool H,Liverpool,12 Sep 15
18,55.83,Billy Praim-Singh,1,Robert Earle,Southend,Walthamstow,19 Dec 15
19,55.51,Mark Guthrie,2,Andy Frost,Pitreavie,Bedford,20 Jun 15
20,54.98,Peter Cassidy,1,Martin Cassidy,Guildford & Godalming,Birmingham,19 Jul 15
21,54.59,Isaac Huskisson,2,,Nene Valley,Hendon,28 Jun 15
22,54.50,Martin Croft,2,Brian Walsh,Middlesbrough (Mandale),Middlesbrough,16 Jun 15
23,53.85,Owen Murphy,1,,Cwmbran,Cardiff,4 Jul 15
24,53.18,Craig Mullins,1,,Moorfoot,Hutchesons,26 Jul 15
25,52.59,Jonny Haines,1,Karl Lasis,Crawley,Lee Valley,13 Jun 15
26,51.64,Jonathan Jones,1,Darren Andrews,Gloucester,Cheltenham,7 Jun 15
27,50.19,Jack Mirfin,2,Brian Lockley,East Cheshire,Stretford,13 Jun 15
28,50.01,Jack Wuidart,1,,Bedford & County,Aldershot,28 Jun 15
29,49.73,Shaun Livett,2,Ronnie Bomba,Menai,Liverpool,12 Sep 15
30,49.52,Christopher Scanlan,1,,Shettleston,Livingston,6 Jun 15
31,49.09,Jack Mitchell,1,Margery Swinton,Edinburgh AC,Inverness,23 May 15
32,49.08,Jonathan Briggs,1,,BRAT,Nuneaton,23 May 15
